’’	''	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
ἐκείνοις	e)kei/nois	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-p---nd-
ἐκείνοις	e)kei/nois	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-p---md-
ἐκείνου	e)kei/nou	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---ng-
ἐκείνου	e)kei/nou	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---mg-
ἐκείνου	e)kei/nou	κενόω	keno/w	urn:cite2:hmt:lsj.chicago_md:n56597	v3siia---
ἐκείνους	e)kei/nous	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-p---ma-
ἐκείνους	e)kei/nous	κενόω	keno/w	urn:cite2:hmt:lsj.chicago_md:n56597	v2siia---
ἐκείνων	e)kei/nwn	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-p---ng-
ἐκείνων	e)kei/nwn	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-p---fg-
ἐκείνων	e)kei/nwn	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-p---mg-
ἐκείνων	e)kei/nwn	κενόω	keno/w	urn:cite2:hmt:lsj.chicago_md:n56597	v3piia---
ἐκείνων	e)kei/nwn	κενόω	keno/w	urn:cite2:hmt:lsj.chicago_md:n56597	v1siia---
ἐκείνῳ	e)kei/nw|	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---nd-
ἐκείνῳ	e)kei/nw|	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---md-
ἐκεῖθεν	e)kei=qen	ἐκεῖθεν	e)kei=qen	urn:cite2:hmt:lsj.chicago_md:n31947	d--------
ἐκεῖνο	e)kei=no	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---nn-
ἐκεῖνο	e)kei=no	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---nv-
ἐκεῖνο	e)kei=no	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---na-
ἐκεῖνον	e)kei=non	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---ma-
ἐκεῖνος	e)kei=nos	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---mn-
ἐκινήθη	e)kinh/qh	κινέω	kine/w	urn:cite2:hmt:lsj.chicago_md:n57460	v3saip---
ἐκκαλεῖ	e)kkalei=	ἐκκαλέω	e)kkale/w	urn:cite2:hmt:lsj.chicago_md:n32105	v2spie---
ἐκκαλεῖ	e)kkalei=	ἐκκαλέω	e)kkale/w	urn:cite2:hmt:lsj.chicago_md:n32105	v3spia---
ἐκκαλεῖ	e)kkalei=	ἐκκαλέω	e)kkale/w	urn:cite2:hmt:lsj.chicago_md:n32105	v2sfim---
ἐκκαλεῖ	e)kkalei=	ἐκκαλέω	e)kkale/w	urn:cite2:hmt:lsj.chicago_md:n32105	v3sfia---
ἐκκαλεῖ	e)kkalei=	ἐκκαλέω	e)kkale/w	urn:cite2:hmt:lsj.chicago_md:n32105	v2spie---
ἐκκαλεῖ	e)kkalei=	ἐκκαλέω	e)kkale/w	urn:cite2:hmt:lsj.chicago_md:n32105	v3spia---
ἐκκαλυψάμενον	e)kkaluya/menon	ἐκκαλύπτω	e)kkalu/ptw	urn:cite2:hmt:lsj.chicago_md:n32109	v-sapmma-
ἐκκαλυψάμενον	e)kkaluya/menon	ἐκκαλύπτω	e)kkalu/ptw	urn:cite2:hmt:lsj.chicago_md:n32109	v-sapmnn-
ἐκκαλυψάμενον	e)kkaluya/menon	ἐκκαλύπτω	e)kkalu/ptw	urn:cite2:hmt:lsj.chicago_md:n32109	v-sapmnv-
ἐκκαλυψάμενον	e)kkaluya/menon	ἐκκαλύπτω	e)kkalu/ptw	urn:cite2:hmt:lsj.chicago_md:n32109	v-sapmna-
ἐκκλησίαις	e)kklhsi/ais	ἐκκλησία	e)kklhsi/a	urn:cite2:hmt:lsj.chicago_md:n32173	n-p---fd-
ἐκκλησίαν	e)kklhsi/an	ἐκκλησία	e)kklhsi/a	urn:cite2:hmt:lsj.chicago_md:n32173	n-s---fa-
ἐκκλησίᾳ	e)kklhsi/a|	ἐκκλησία	e)kklhsi/a	urn:cite2:hmt:lsj.chicago_md:n32173	n-p---fn-
ἐκκλησίᾳ	e)kklhsi/a|	ἐκκλησία	e)kklhsi/a	urn:cite2:hmt:lsj.chicago_md:n32173	n-p---fv-
ἐκκλησίᾳ	e)kklhsi/a|	ἐκκλησία	e)kklhsi/a	urn:cite2:hmt:lsj.chicago_md:n32173	n-s---fd-
ἐκκλέψαντος	e)kkle/yantos	ἐκκλέπτω	e)kkle/ptw	urn:cite2:hmt:lsj.chicago_md:n32167	v-sapamg-
ἐκκλέψαντος	e)kkle/yantos	ἐκκλέπτω	e)kkle/ptw	urn:cite2:hmt:lsj.chicago_md:n32167	v-sapang-
ἐκλαμβάνοντος	e)klamba/nontos	ἐκλαμβάνω	e)klamba/nw	urn:cite2:hmt:lsj.chicago_md:n32309	v-sppamg-
ἐκλαμβάνοντος	e)klamba/nontos	ἐκλαμβάνω	e)klamba/nw	urn:cite2:hmt:lsj.chicago_md:n32309	v-sppang-
ἐκλιπεῖν	e)klipei=n	ἐκλείπω	e)klei/pw	urn:cite2:hmt:lsj.chicago_md:n32333	v--ana---
ἐκλίποι	e)kli/poi	ἐκλείπω	e)klei/pw	urn:cite2:hmt:lsj.chicago_md:n32333	v3saoa---
ἐκομίσθη	e)komi/sqh	κομίζω	komi/zw	urn:cite2:hmt:lsj.chicago_md:n58790	v3saip---
ἐκορύφωσε	e)koru/fwse	κορυφόω	korufo/w	urn:cite2:hmt:lsj.chicago_md:n59245	v3saia---
ἐκπεπολεμωμένοι	e)kpepolemwme/noi	ἐκπολεμόω	e)kpolemo/w	urn:cite2:hmt:lsj.chicago_md:n32714	v-prpemn-
ἐκπεπολεμωμένοι	e)kpepolemwme/noi	ἐκπολεμόω	e)kpolemo/w	urn:cite2:hmt:lsj.chicago_md:n32714	v-prpemv-
ἐκπεπολεμωμένων	e)kpepolemwme/nwn	ἐκπολεμόω	e)kpolemo/w	urn:cite2:hmt:lsj.chicago_md:n32714	v-prpefg-
ἐκπεπολεμωμένων	e)kpepolemwme/nwn	ἐκπολεμόω	e)kpolemo/w	urn:cite2:hmt:lsj.chicago_md:n32714	v-prpemg-
ἐκπεπολεμωμένων	e)kpepolemwme/nwn	ἐκπολεμόω	e)kpolemo/w	urn:cite2:hmt:lsj.chicago_md:n32714	v-prpeng-
ἐκπεσεῖν	e)kpesei=n	ἐκπίτνω	e)kpi/tnw	urn:cite2:hmt:lsj.chicago_md:n32657	v--ana---
ἐκπεσόντος	e)kpeso/ntos	ἐκπίτνω	e)kpi/tnw	urn:cite2:hmt:lsj.chicago_md:n32657	v-sapamg-
ἐκπεσόντος	e)kpeso/ntos	ἐκπίτνω	e)kpi/tnw	urn:cite2:hmt:lsj.chicago_md:n32657	v-sapang-
ἐκπλαγέντα	e)kplage/nta	ἐκπλάσσω	e)kpla/ssw	urn:cite2:hmt:lsj.chicago_md:n32662	v-pappnn-
ἐκπλαγέντα	e)kplage/nta	ἐκπλάσσω	e)kpla/ssw	urn:cite2:hmt:lsj.chicago_md:n32662	v-pappnv-
ἐκπλαγέντα	e)kplage/nta	ἐκπλάσσω	e)kpla/ssw	urn:cite2:hmt:lsj.chicago_md:n32662	v-pappna-
ἐκπλαγέντα	e)kplage/nta	ἐκπλάσσω	e)kpla/ssw	urn:cite2:hmt:lsj.chicago_md:n32662	v-sappma-
ἐκπλαγέντα	e)kplage/nta	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v-pappnn-
ἐκπλαγέντα	e)kplage/nta	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v-pappnv-
ἐκπλαγέντα	e)kplage/nta	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v-pappna-
ἐκπλαγέντα	e)kplage/nta	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v-sappma-
ἐκπλαγέντα	e)kplage/nta	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v-pappnn-
ἐκπλαγέντα	e)kplage/nta	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v-pappnv-
ἐκπλαγέντα	e)kplage/nta	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v-pappna-
ἐκπλαγέντα	e)kplage/nta	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v-sappma-
ἐκπλαγῆναι	e)kplagh=nai	ἐκπλάσσω	e)kpla/ssw	urn:cite2:hmt:lsj.chicago_md:n32662	v--anp---
ἐκπλαγῆναι	e)kplagh=nai	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v--anp---
ἐκπλαγῆναι	e)kplagh=nai	ἐκπλήσσω	e)kplh/ssw	urn:cite2:hmt:lsj.chicago_md:n32686	v--anp---
ἐκπλεῦσαι	e)kpleu=sai	ἐκπλέω	e)kple/w	urn:cite2:hmt:lsj.chicago_md:n32672	v-pppafn-
ἐκπλεῦσαι	e)kpleu=sai	ἐκπλέω	e)kple/w	urn:cite2:hmt:lsj.chicago_md:n32672	v-pppafv-
ἐκπλεῦσαι	e)kpleu=sai	ἐκπλέω	e)kple/w	urn:cite2:hmt:lsj.chicago_md:n32672	v--ana---
ἐκποδών	e)kpodw/n	ἐκποδών	e)kpodw/n	urn:cite2:hmt:lsj.chicago_md:n32704	d--------
ἐκπονοῦσαι	e)kponou=sai	ἐκπονέω	e)kpone/w	urn:cite2:hmt:lsj.chicago_md:n32723	v-pppafn-
ἐκπονοῦσαι	e)kponou=sai	ἐκπονέω	e)kpone/w	urn:cite2:hmt:lsj.chicago_md:n32723	v-pppafv-
ἐκπονοῦσαι	e)kponou=sai	ἐκπονέω	e)kpone/w	urn:cite2:hmt:lsj.chicago_md:n32723	v-pppafn-
ἐκπονοῦσαι	e)kponou=sai	ἐκπονέω	e)kpone/w	urn:cite2:hmt:lsj.chicago_md:n32723	v-pppafv-
ἐκπορίζων	e)kpori/zwn	ἐκπορίζω	e)kpori/zw	urn:cite2:hmt:lsj.chicago_md:n32731	v-sppamn-
ἐκπορίζων	e)kpori/zwn	ἐκπορίζω	e)kpori/zw	urn:cite2:hmt:lsj.chicago_md:n32731	v-sppamn-
ἐκπρεπές	e)kprepe/s	ἐκπρεπής	e)kpreph/s	urn:cite2:hmt:lsj.chicago_md:n32745	n-s---mv-
ἐκπρεπές	e)kprepe/s	ἐκπρεπής	e)kpreph/s	urn:cite2:hmt:lsj.chicago_md:n32745	n-s---fv-
ἐκπρεπές	e)kprepe/s	ἐκπρεπής	e)kpreph/s	urn:cite2:hmt:lsj.chicago_md:n32745	n-s---nn-
ἐκπρεπές	e)kprepe/s	ἐκπρεπής	e)kpreph/s	urn:cite2:hmt:lsj.chicago_md:n32745	n-s---nv-
ἐκπρεπές	e)kprepe/s	ἐκπρεπής	e)kpreph/s	urn:cite2:hmt:lsj.chicago_md:n32745	n-s---na-
ἐκπέμπων	e)kpe/mpwn	ἐκπέμπω	e)kpe/mpw	urn:cite2:hmt:lsj.chicago_md:n32591	v-sppamn-
ἐκταραττομένη	e)ktarattome/nh	ἐκταράσσω	e)ktara/ssw	urn:cite2:hmt:lsj.chicago_md:n32954	v-sppefn-
ἐκταραττομένη	e)ktarattome/nh	ἐκταράσσω	e)ktara/ssw	urn:cite2:hmt:lsj.chicago_md:n32954	v-sppefv-
ἐκταραττομένη	e)ktarattome/nh	ἐκταράσσω	e)ktara/ssw	urn:cite2:hmt:lsj.chicago_md:n32954	v-sppefn-
ἐκταραττομένη	e)ktarattome/nh	ἐκταράσσω	e)ktara/ssw	urn:cite2:hmt:lsj.chicago_md:n32954	v-sppefv-
ἐκτεῖσαι	e)ktei=sai	ἐκτίνω	e)kti/nw	urn:cite2:hmt:lsj.chicago_md:n33014	v--ana---
ἐκτός	e)kto/s	ἐκτός	e)kto/s	urn:cite2:hmt:lsj.chicago_md:n33059	d--------
ἐκφέρειν	e)kfe/rein	ἐκφέρω	e)kfe/rw	urn:cite2:hmt:lsj.chicago_md:n33160	v--pna---
ἐκφέρων	e)kfe/rwn	ἐκφέρω	e)kfe/rw	urn:cite2:hmt:lsj.chicago_md:n33160	v-sppamn-
ἐκφύγοι	e)kfu/goi	ἐκφεύγω	e)kfeu/gw	urn:cite2:hmt:lsj.chicago_md:n33161	v3saoa---
ἐκχέαι	e)kxe/ai	ἐκχέω	e)kxe/w	urn:cite2:hmt:lsj.chicago_md:n33257	v2spie---
ἐκχέαι	e)kxe/ai	ἐκχέω	e)kxe/w	urn:cite2:hmt:lsj.chicago_md:n33257	v2spie---
ἐκχέαι	e)kxe/ai	ἐκχέω	e)kxe/w	urn:cite2:hmt:lsj.chicago_md:n33257	v--ana---
ἐκχέαι	e)kxe/ai	ἐκχέω	e)kxe/w	urn:cite2:hmt:lsj.chicago_md:n33257	v3saoa---
ἐκάλει	e)ka/lei	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v3siia---
ἐκάλουν	e)ka/loun	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v3piia---
ἐκάλουν	e)ka/loun	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v1siia---
ἐκέλευον	e)ke/leuon	κελεύω	keleu/w	urn:cite2:hmt:lsj.chicago_md:n56496	v3piia---
ἐκέλευον	e)ke/leuon	κελεύω	keleu/w	urn:cite2:hmt:lsj.chicago_md:n56496	v1siia---
ἐκέλευσε	e)ke/leuse	κελεύω	keleu/w	urn:cite2:hmt:lsj.chicago_md:n56496	v3saia---
ἐκόσμησε	e)ko/smhse	κοσμέω	kosme/w	urn:cite2:hmt:lsj.chicago_md:n59295	v3saia---
ἐκώλυε	e)kw/lue	κωλύω	kwlu/w	urn:cite2:hmt:lsj.chicago_md:n61265	v3siia---
ἐλαττούμενος	e)lattou/menos	ἐλασσόω	e)lasso/w	urn:cite2:hmt:lsj.chicago_md:n33424	v-sppemn-
ἐλαύνειν	e)lau/nein	ἐλαύνω	e)lau/nw	urn:cite2:hmt:lsj.chicago_md:n33457	v--pna---
ἐλεγκτικήν	e)legktikh/n	ἐλεγκτικός	e)legktiko/s	urn:cite2:hmt:lsj.chicago_md:n33526	a-s---fa-
ἐλεγχθείσης	e)legxqei/shs	ἐλέγχω	e)le/gxw	urn:cite2:hmt:lsj.chicago_md:n33539	v-sappfg-
ἐλευθερίαν	e)leuqeri/an	ἐλευθερία	e)leuqeri/a	urn:cite2:hmt:lsj.chicago_md:n33603	n-s---fa-
ἐλευθέρας	e)leuqe/ras	ἐλεύθερος	e)leu/qeros	urn:cite2:hmt:lsj.chicago_md:n33618	a-p---fa-
ἐλευθέρας	e)leuqe/ras	ἐλεύθερος	e)leu/qeros	urn:cite2:hmt:lsj.chicago_md:n33618	a-s---fg-
ἐλθεῖν	e)lqei=n	ἔρχομαι	e)/rxomai	urn:cite2:hmt:lsj.chicago_md:n42827	v--ana---
ἐλθούσης	e)lqou/shs	ἔρχομαι	e)/rxomai	urn:cite2:hmt:lsj.chicago_md:n42827	v-sapafg-
ἐλθών	e)lqw/n	ἔρχομαι	e)/rxomai	urn:cite2:hmt:lsj.chicago_md:n42827	v-sapamn-
ἐλοιδόρει	e)loido/rei	λοιδορέω	loidore/w	urn:cite2:hmt:lsj.chicago_md:n63814	v3siia---
ἐλπίδα	e)lpi/da	ἐλπίς	e)lpi/s	urn:cite2:hmt:lsj.chicago_md:n33903	n-s---fa-
ἐλπίδος	e)lpi/dos	ἐλπίς	e)lpi/s	urn:cite2:hmt:lsj.chicago_md:n33903	n-s---fg-
ἐλπίδων	e)lpi/dwn	ἐλπίς	e)lpi/s	urn:cite2:hmt:lsj.chicago_md:n33903	n-p---fg-
ἐλπίζων	e)lpi/zwn	ἐλπίζω	e)lpi/zw	urn:cite2:hmt:lsj.chicago_md:n33902	v-sppamn-
ἐλπίσι	e)lpi/si	ἐλπίς	e)lpi/s	urn:cite2:hmt:lsj.chicago_md:n33903	n-p---fd-
ἐλάμβανε	e)la/mbane	λαμβάνω	lamba/nw	urn:cite2:hmt:lsj.chicago_md:n61791	v3siia---
ἐλάττους	e)la/ttous	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-p---mn-
ἐλάττους	e)la/ttous	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-p---ma-
ἐλάττους	e)la/ttous	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-p---fn-
ἐλάττους	e)la/ttous	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-p---fa-
ἐλάττους	e)la/ttous	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-p---ma-
ἐλάττους	e)la/ttous	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-p---fa-
ἐλάττους	e)la/ttous	ἐλασσόω	e)lasso/w	urn:cite2:hmt:lsj.chicago_md:n33424	v2siia---
ἐλάττω	e)la/ttw	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-p---na-
ἐλάττω	e)la/ttw	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-p---nn-
ἐλάττω	e)la/ttw	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-s---ma-
ἐλάττω	e)la/ttw	ἐλάσσων	e)la/sswn	urn:cite2:hmt:lsj.chicago_md:n33426	a-s---fa-
ἐλάττω	e)la/ttw	ἐλασσόω	e)lasso/w	urn:cite2:hmt:lsj.chicago_md:n33424	v2spma---
ἐλάττω	e)la/ttw	ἐλαύνω	e)lau/nw	urn:cite2:hmt:lsj.chicago_md:n33457	v2saim---
ἐλάχιστα	e)la/xista	ἐλάχιστος	e)la/xistos	urn:cite2:hmt:lsj.chicago_md:n33494	a-p---nn-
ἐλάχιστα	e)la/xista	ἐλάχιστος	e)la/xistos	urn:cite2:hmt:lsj.chicago_md:n33494	a-p---nv-
ἐλάχιστα	e)la/xista	ἐλάχιστος	e)la/xistos	urn:cite2:hmt:lsj.chicago_md:n33494	a-p---na-
ἐλάχιστον	e)la/xiston	ἐλάχιστος	e)la/xistos	urn:cite2:hmt:lsj.chicago_md:n33494	a-s---ma-
ἐλάχιστον	e)la/xiston	ἐλάχιστος	e)la/xistos	urn:cite2:hmt:lsj.chicago_md:n33494	a-s---nn-
ἐλάχιστον	e)la/xiston	ἐλάχιστος	e)la/xistos	urn:cite2:hmt:lsj.chicago_md:n33494	a-s---nv-
ἐλάχιστον	e)la/xiston	ἐλάχιστος	e)la/xistos	urn:cite2:hmt:lsj.chicago_md:n33494	a-s---na-
ἐλέγξας	e)le/gcas	ἐλέγχω	e)le/gxw	urn:cite2:hmt:lsj.chicago_md:n33539	v-sapamn-
ἐλέγξας	e)le/gcas	ἐλέγχω	e)le/gxw	urn:cite2:hmt:lsj.chicago_md:n33539	v-sapamv-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33537	n-d---nn-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33538	n-d---nn-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33537	n-d---nv-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33538	n-d---nv-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33537	n-d---na-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33538	n-d---na-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33537	n-s---nd-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33538	n-s---nd-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33537	n-s---nd-
ἐλέγχει	e)le/gxei	ἔλεγχοσ1	e)/legxos	urn:cite2:hmt:lsj.chicago_md:n33538	n-s---nd-
ἐλέγχει	e)le/gxei	ἐλέγχω	e)le/gxw	urn:cite2:hmt:lsj.chicago_md:n33539	v2spie---
ἐλέγχει	e)le/gxei	ἐλέγχω	e)le/gxw	urn:cite2:hmt:lsj.chicago_md:n33539	v3spia---
ἐλέφαντος	e)le/fantos	ἐλέφας	e)le/fas	urn:cite2:hmt:lsj.chicago_md:n33671	n-s---mg-
ἐλέφας	e)le/fas	ἐλέφας	e)le/fas	urn:cite2:hmt:lsj.chicago_md:n33671	n-s---mn-
ἐμαρτύρησεν	e)martu/rhsen	μαρτυρέω	marture/w	urn:cite2:hmt:lsj.chicago_md:n65083	v3saia---
ἐμαυτοῦ	e)mautou=	ἐμαυτοῦ	e)mautou=	urn:cite2:hmt:lsj.chicago_md:n33935	p-s---mg-
ἐμαυτοῦ	e)mautou=	ἐμαυτοῦ	e)mautou=	urn:cite2:hmt:lsj.chicago_md:n33935	p-s---ng-
ἐμβαλεῖν	e)mbalei=n	ἐμβάλλω	e)mba/llw	urn:cite2:hmt:lsj.chicago_md:n33956	v--ana---
ἐμβαλεῖν	e)mbalei=n	ἐμβάλλω	e)mba/llw	urn:cite2:hmt:lsj.chicago_md:n33956	v--fna---
ἐμβαλόντες	e)mbalo/ntes	ἐμβάλλω	e)mba/llw	urn:cite2:hmt:lsj.chicago_md:n33956	v-papamn-
ἐμβαλόντες	e)mbalo/ntes	ἐμβάλλω	e)mba/llw	urn:cite2:hmt:lsj.chicago_md:n33956	v-papamv-
ἐμβαλόντων	e)mbalo/ntwn	ἐμβάλλω	e)mba/llw	urn:cite2:hmt:lsj.chicago_md:n33956	v-papamg-
ἐμβαλόντων	e)mbalo/ntwn	ἐμβάλλω	e)mba/llw	urn:cite2:hmt:lsj.chicago_md:n33956	v-papang-
ἐμβαλόντων	e)mbalo/ntwn	ἐμβάλλω	e)mba/llw	urn:cite2:hmt:lsj.chicago_md:n33956	v3pama---
ἐμβαλών	e)mbalw/n	ἐμβάλλω	e)mba/llw	urn:cite2:hmt:lsj.chicago_md:n33956	v-sapamn-
ἐμβριθέστερον	e)mbriqe/steron	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	x--------
ἐμβριθέστερον	e)mbriqe/steron	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-s---ma-
ἐμβριθέστερον	e)mbriqe/steron	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-s---nn-
ἐμβριθέστερον	e)mbriqe/steron	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-s---nv-
ἐμβριθέστερον	e)mbriqe/steron	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-s---na-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-p---nn-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-p---nv-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-p---na-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-d---mn-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-d---mv-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-d---ma-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-d---fn-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-d---fv-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-d---fa-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-d---nn-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-d---nv-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-d---na-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-s---ma-
ἐμβριθῆ	e)mbriqh=	ἐμβριθής	e)mbriqh/s	urn:cite2:hmt:lsj.chicago_md:n34050	n-s---fa-
ἐμμελοῦς	e)mmelou=s	ἐμμελής	e)mmelh/s	urn:cite2:hmt:lsj.chicago_md:n34138	n-s---mg-
ἐμμελοῦς	e)mmelou=s	ἐμμελής	e)mmelh/s	urn:cite2:hmt:lsj.chicago_md:n34138	n-s---fg-
ἐμμελοῦς	e)mmelou=s	ἐμμελής	e)mmelh/s	urn:cite2:hmt:lsj.chicago_md:n34138	n-s---ng-
ἐμμελές	e)mmele/s	ἐμμελής	e)mmelh/s	urn:cite2:hmt:lsj.chicago_md:n34138	n-s---mv-
ἐμμελές	e)mmele/s	ἐμμελής	e)mmelh/s	urn:cite2:hmt:lsj.chicago_md:n34138	n-s---fv-
ἐμμελές	e)mmele/s	ἐμμελής	e)mmelh/s	urn:cite2:hmt:lsj.chicago_md:n34138	n-s---nn-
ἐμμελές	e)mmele/s	ἐμμελής	e)mmelh/s	urn:cite2:hmt:lsj.chicago_md:n34138	n-s---nv-
ἐμμελές	e)mmele/s	ἐμμελής	e)mmelh/s	urn:cite2:hmt:lsj.chicago_md:n34138	n-s---na-
ἐμμελῶς	e)mmelw=s	ἐμμελής	e)mmelh/s	urn:cite2:hmt:lsj.chicago_md:n34138	x--------
ἐμμεῖναι	e)mmei=nai	ἐμμένω	e)mme/nw	urn:cite2:hmt:lsj.chicago_md:n34148	v--ana---
ἐμοί	e)moi/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---md-
ἐμοί	e)moi/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---fd-
ἐμοί	e)moi/	ἐμός	e)mo/s	urn:cite2:hmt:lsj.chicago_md:n34194	a-p---mn-
