’’	''	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
Κεφαληγερέταν	*kefalhgere/tan	κεφαληγερέτης	kefalhgere/ths	urn:cite2:hmt:lsj.chicago_md:n56992	n-s---ma-
Κεφαληγερέταν	*kefalhgere/tan	κεφαληγερέτης	kefalhgere/ths	urn:cite2:hmt:lsj.chicago_md:n56992	n-s---ma-
Κλέων	*kle/wn	κλέω	kle/w	urn:cite2:hmt:lsj.chicago_md:n57835	v-sppamn-
Κλέων	*kle/wn	κλέω	kle/w	urn:cite2:hmt:lsj.chicago_md:n57836	v-sppamn-
Κορινθίοις	*korinqi/ois	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---md-
Κορινθίοις	*korinqi/ois	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---nd-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---fg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---mg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---ng-
Κρόνος	*kro/nos	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mn-
Κρόνος	*kro/nos	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mn-
Κρόνος	*kro/nos	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mn-
Κρόνος	*kro/nos	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mn-
Κέρκυραν	*ke/rkuran	Κέρκυρα	*ke/rkura	urn:cite2:hmt:lsj.chicago_md:n56881	n-s---fa-
Κόροιβος	*ko/roibos	Κόροιβος	*ko/roibos	urn:cite2:hmt:lsj.chicago_md:n59143	n-s---mn-
Κόροιβος	*ko/roibos	κόροιβος	ko/roibos	urn:cite2:hmt:lsj.chicago_md:n59143	n-s---mn-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fa-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fa-
Κύπρῳ	*ku/prw|	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fd-
Κύπρῳ	*ku/prw|	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fd-
Κύπρῳ	*ku/prw|	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fd-
Κύπρῳ	*ku/prw|	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fd-
Κύρου	*ku/rou	Κῦρος	*ku=ros	urn:cite2:hmt:lsj.chicago_md:n61071	n-s---mg-
Κύρου	*ku/rou	Κῦρος	*ku=ros	urn:cite2:hmt:lsj.chicago_md:n61072	n-s---mg-
Κύρου	*ku/rou	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v2spme---
Κύρου	*ku/rou	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v2siie---
Κύρου	*ku/rou	κυρόω	kuro/w	urn:cite2:hmt:lsj.chicago_md:n61073	v2spma---
Κύρου	*ku/rou	κυρόω	kuro/w	urn:cite2:hmt:lsj.chicago_md:n61073	v3siia---
Κῦρον	*ku=ron	Κῦρος	*ku=ros	urn:cite2:hmt:lsj.chicago_md:n61071	n-s---ma-
Κῦρον	*ku=ron	Κῦρος	*ku=ros	urn:cite2:hmt:lsj.chicago_md:n61072	n-s---ma-
Κῦρον	*ku=ron	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v-sppamv-
Κῦρον	*ku=ron	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v-sppann-
Κῦρον	*ku=ron	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v-sppanv-
Κῦρον	*ku=ron	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v-sppana-
Κῦρον	*ku=ron	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v3piia---
Κῦρον	*ku=ron	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v1siia---
Λακεδαίμονι	*lakedai/moni	Λακεδαίμων	*lakedai/mwn	urn:cite2:hmt:lsj.chicago_md:n61708	n-s---fd-
Λακεδαίμονος	*lakedai/monos	Λακεδαίμων	*lakedai/mwn	urn:cite2:hmt:lsj.chicago_md:n61708	n-s---fg-
Λακωνισμοῦ	*lakwnismou=	Λακωνισμός	*lakwnismo/s	urn:cite2:hmt:lsj.chicago_md:n61757	n-s---mg-
Λακωνισμοῦ	*lakwnismou=	λακωνισμός	lakwnismo/s	urn:cite2:hmt:lsj.chicago_md:n61757	n-s---mg-
Λακωνισμόν	*lakwnismo/n	Λακωνισμός	*lakwnismo/s	urn:cite2:hmt:lsj.chicago_md:n61757	n-s---ma-
Λακωνισμόν	*lakwnismo/n	λακωνισμός	lakwnismo/s	urn:cite2:hmt:lsj.chicago_md:n61757	n-s---ma-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---mg-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---fg-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---ng-
Λοκρῶν	*lokrw=n	Λοκροί	*lokroi/	urn:cite2:hmt:lsj.chicago_md:n63856	n-p---mg-
Λέγουσι	*le/gousi	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamd-
Λέγουσι	*le/gousi	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppand-
Λέγουσι	*le/gousi	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3ppia---
Λέγουσι	*le/gousi	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamd-
Λέγουσι	*le/gousi	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppand-
Λέγουσι	*le/gousi	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3ppia---
Λέγουσι	*le/gousi	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamd-
Λέγουσι	*le/gousi	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppand-
Λέγουσι	*le/gousi	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3ppia---
Λέσβου	*le/sbou	Λέσβος	*le/sbos	urn:cite2:hmt:lsj.chicago_md:n62585	n-s---fg-
Λέσβου	*le/sbou	Λέσβος	*le/sbos	urn:cite2:hmt:lsj.chicago_md:n62585	n-s---fg-
Λῆμνον	*lh=mnon	Λῆμνος	*lh=mnos	urn:cite2:hmt:lsj.chicago_md:n62915	n-s---fa-
Μεγαρεῖς	*megarei=s	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---ma-
Μεγαρεῖς	*megarei=s	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---mn-
Μεγαρεῖς	*megarei=s	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---mv-
Μεγαρικήν	*megarikh/n	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-s---fa-
Μεγαρικόν	*megariko/n	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-s---ma-
Μεγαρικόν	*megariko/n	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-s---nn-
Μεγαρικόν	*megariko/n	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-s---nv-
Μεγαρικόν	*megariko/n	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-s---na-
Μεγαρικῆς	*megarikh=s	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-s---fg-
Μεγαρέων	*megare/wn	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---mg-
Μεγαρέων	*megare/wn	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---mg-
Μεγαρῆς	*megarh=s	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---mn-
Μεγαρῆς	*megarh=s	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---mn-
Μεγαρῆς	*megarh=s	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---mv-
