token_urn	surface_form	normalized_form	reason
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.29.token8	Μαθθὰτ	Μαθθάτ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.29.token10	Λευὶ	Λευί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.30.token2	Συμεὼν	Συμεών	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.30.token4	Ἰούδα	Ἰούδα	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.30.token6	Ἰωσὴφ	Ἰωσήφ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.30.token8	Ἰωνὰμ	Ἰωνάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.30.token10	Ἐλιακὶμ	Ἐλιακίμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.31.token2	Μελεὰ	Μελεά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.31.token4	Μεννὰ	Μεννά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.31.token6	Ματταθὰ	Ματταθά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.31.token8	Ναθὰμ	Ναθάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.31.token10	Δαυὶδ	Δαυίδ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.32.token2	Ἰεσσαὶ	Ἰεσσαί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.32.token4	Ἰωβὴλ	Ἰωβήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.32.token6	Βόος	Βόος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.32.token10	Ναασσὼν	Ναασσών	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.33.token2	ʹἈμιναδὰβ	ʹἈμιναδάβ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.33.token4	Ἀδμὶν	Ἀδμίν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.33.token6	Ἀρνὶʹ	Ἀρνίʹ	no_match_in_morph_dict
