urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430031
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430227
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430340
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.10	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400380
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.2	urn:cite2:fufolio:greekmorph.2026a:20260615T0220215714
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409550
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312402224
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.6	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430031
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.6	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430227
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.6	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430340
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124438006
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.8	urn:cite2:fufolio:greekmorph.2026a:20260611T01550645582
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.9	urn:cite2:fufolio:greekmorph.2026a:20260607T03125133392
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401626
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.13	urn:cite2:fufolio:greekmorph.2026a:20260607T03124410345
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.14	urn:cite2:fufolio:greekmorph.2026a:20260615T0233052371
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.15	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409345
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.15	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409346
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.16	urn:cite2:fufolio:greekmorph.2026a:20260615T0233052163
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.17	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405588
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.19	urn:cite2:fufolio:greekmorph.2026a:20260607T0312402224
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.19	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430031
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.19	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430227
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.19	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430340
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401357
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430014
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430254
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431461
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.20	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409345
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.20	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409346
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.21	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400810
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.22	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405588
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.24	urn:cite2:fufolio:greekmorph.2026a:20260615T0233051271
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.24	urn:cite2:fufolio:greekmorph.2026a:20260615T0233051272
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.24	urn:cite2:fufolio:greekmorph.2026a:20260615T0233051273
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.24	urn:cite2:fufolio:greekmorph.2026a:20260615T0233051274
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.24	urn:cite2:fufolio:greekmorph.2026a:20260615T0233051276
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.24	urn:cite2:fufolio:greekmorph.2026a:20260615T0233051277
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.24	urn:cite2:fufolio:greekmorph.2026a:20260615T0233051278
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.25	urn:cite2:fufolio:greekmorph.2026a:20260607T0312422546
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.25	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431619
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.26	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405587
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.26	urn:cite2:fufolio:greekmorph.2026a:20260608T1833433132
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.28	urn:cite2:fufolio:greekmorph.2026a:20260607T0312402224
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.28	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430031
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.28	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430227
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.28	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430340
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.29	urn:cite2:fufolio:greekmorph.2026a:20260615T0233053045
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.29	urn:cite2:fufolio:greekmorph.2026a:20260615T0233053046
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405118
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.3	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430723
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.30	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406441
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.30	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406442
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.30	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406443
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.30	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430060
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.30	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430826
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.30	urn:cite2:fufolio:greekmorph.2026a:20260608T1833432183
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.30	urn:cite2:fufolio:greekmorph.2026a:20260608T1833432293
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.30	urn:cite2:fufolio:greekmorph.2026a:20260608T1833433050
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.31	urn:cite2:fufolio:greekmorph.2026a:20260607T03125141493
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.31	urn:cite2:fufolio:greekmorph.2026a:20260607T03125141494
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.31	urn:cite2:fufolio:greekmorph.2026a:20260607T03125141495
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.32	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400362
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.32	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400363
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.32	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400364
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400380
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409851
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312423205
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312423206
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312442739
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.9	urn:cite2:fufolio:greekmorph.2026a:20260607T0312537127
urn:cts:greekLit:tlg0031.tlg003.wh:1.13.token.9	urn:cite2:fufolio:greekmorph.2026a:20260607T0312537128
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312402224
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430031
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430227
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430340
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.10	urn:cite2:fufolio:greekmorph.2026a:20260607T0312408645
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.10	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430126
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.10	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431475
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406484
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406485
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.11	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430113
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.12	urn:cite2:fufolio:greekmorph.2026a:20260614T0410591979
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.12	urn:cite2:fufolio:greekmorph.2026a:20260614T0410591980
