urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312535720
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312535720
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403482
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403483
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260616T2026437070
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312404965
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T1029015274
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260616T2026432245
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1007.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260616T2026432246
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1008.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1008.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T03124444048
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1008.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125111644
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1008.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125111645
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1008.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T03124444048
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1009.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1009.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260616T2026437424
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1009.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260616T2026437425
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1009.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010030
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1009.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010031
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1009.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010032
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1009.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010033
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1009.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010034
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1009.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010035
