ἐξεπλεύσατ’	e)cepleu/sat'	ἐκπλέω	e)kple/w	urn:cite2:hmt:lsj.chicago_md:n32672	v2paia---
ἐξεπτοήθη	e)ceptoh/qh	ἐκπτοέω	e)kptoe/w	urn:cite2:hmt:lsj.chicago_md:n32781	v3saip---
ἐξεπίστασαι	e)cepi/stasai	ἐξεπίσταμαι	e)cepi/stamai	urn:cite2:hmt:lsj.chicago_md:n37145	v2spie---
ἐξεφοροῦντο	e)ceforou=nto	ἐκφορέω	e)kfore/w	urn:cite2:hmt:lsj.chicago_md:n33194	v3piie---
ἐξηντληκότες	e)chntlhko/tes	ἐξαντλέω	e)cantle/w	urn:cite2:hmt:lsj.chicago_md:n36812	v-prpamn-
ἐξηντληκότες	e)chntlhko/tes	ἐξαντλέω	e)cantle/w	urn:cite2:hmt:lsj.chicago_md:n36812	v-prpamv-
ἐξιείς	e)ciei/s	ἐξίημι	e)ci/hmi	urn:cite2:hmt:lsj.chicago_md:n37368	v-sppamn-
ἐξιείς	e)ciei/s	ἐξίημι	e)ci/hmi	urn:cite2:hmt:lsj.chicago_md:n37368	v-sppamv-
ἐξοδυνηθείς	e)codunhqei/s	ἐξοδυνάω	e)coduna/w	urn:cite2:hmt:lsj.chicago_md:n37472	v-sappmn-
ἐξοδυνηθείς	e)codunhqei/s	ἐξοδυνάω	e)coduna/w	urn:cite2:hmt:lsj.chicago_md:n37472	v-sappmv-
ἐξοδυνηθείς	e)codunhqei/s	ἐξοδυνάω	e)coduna/w	urn:cite2:hmt:lsj.chicago_md:n37472	v-sappmn-
ἐξοδυνηθείς	e)codunhqei/s	ἐξοδυνάω	e)coduna/w	urn:cite2:hmt:lsj.chicago_md:n37472	v-sappmv-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppamv-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppann-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppanv-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppana-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppamn-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v--pna---
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v--pna---
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppamv-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppann-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppanv-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppana-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v-sppamn-
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v--pna---
ἐξοδᾶν	e)coda=n	ἐξοδάω	e)coda/w	urn:cite2:hmt:lsj.chicago_md:n37458	v--pna---
ἐξομιλήσει	e)comilh/sei	ἐξομιλέω	e)comile/w	urn:cite2:hmt:lsj.chicago_md:n37531	v3sasa---
ἐξομιλήσει	e)comilh/sei	ἐξομιλέω	e)comile/w	urn:cite2:hmt:lsj.chicago_md:n37531	v2sfim---
ἐξομιλήσει	e)comilh/sei	ἐξομιλέω	e)comile/w	urn:cite2:hmt:lsj.chicago_md:n37531	v3sfia---
ἐξομιλήσει	e)comilh/sei	ἐξομιλέω	e)comile/w	urn:cite2:hmt:lsj.chicago_md:n37531	v3sasa---
ἐξομιλήσει	e)comilh/sei	ἐξομιλέω	e)comile/w	urn:cite2:hmt:lsj.chicago_md:n37531	v2sfim---
ἐξομιλήσει	e)comilh/sei	ἐξομιλέω	e)comile/w	urn:cite2:hmt:lsj.chicago_md:n37531	v3sfia---
ἐξωσθέντες	e)cwsqe/ntes	ἐξωθέω	e)cwqe/w	urn:cite2:hmt:lsj.chicago_md:n37727	v-pappmn-
ἐξωσθέντες	e)cwsqe/ntes	ἐξωθέω	e)cwqe/w	urn:cite2:hmt:lsj.chicago_md:n37727	v-pappmv-
ἐξέβαλεν	e)ce/balen	ἐκβάλλω	e)kba/llw	urn:cite2:hmt:lsj.chicago_md:n31709	v3saia---
ἐξέβαλεν	e)ce/balen	ἐκβάλλω	e)kba/llw	urn:cite2:hmt:lsj.chicago_md:n31709	v3saia---
ἐξέθρεψα	e)ce/qreya	ἐκτρέφω	e)ktre/fw	urn:cite2:hmt:lsj.chicago_md:n33075	v1saia---
ἐξένευσα	e)ce/neusa	ἐκνέω	e)kne/w	urn:cite2:hmt:lsj.chicago_md:n32510	v1saia---
ἐξένευσα	e)ce/neusa	ἐκνεύω	e)kneu/w	urn:cite2:hmt:lsj.chicago_md:n32506	v1saia---
ἐξέπλησεν	e)ce/plhsen	ἐκπίμπλημι	e)kpi/mplhmi	urn:cite2:hmt:lsj.chicago_md:n32651	v3saia---
ἐξέρρανε	e)ce/rrane	ἐκραίνω	e)krai/nw	urn:cite2:hmt:lsj.chicago_md:n32820	v3saia---
ἐξόλοι’	e)co/loi'	ἐξόλλυμι	e)co/llumi	urn:cite2:hmt:lsj.chicago_md:n37522	v2saom---
ἐξώπτα	e)cw/pta	ἐξοπτάω	e)copta/w	urn:cite2:hmt:lsj.chicago_md:n37576	v3siia---
ἐξῳδηκότα	e)cw|dhko/ta	ἐξοιδέω	e)coide/w	urn:cite2:hmt:lsj.chicago_md:n37480	v-prpann-
ἐξῳδηκότα	e)cw|dhko/ta	ἐξοιδέω	e)coide/w	urn:cite2:hmt:lsj.chicago_md:n37480	v-prpanv-
ἐξῳδηκότα	e)cw|dhko/ta	ἐξοιδέω	e)coide/w	urn:cite2:hmt:lsj.chicago_md:n37480	v-prpana-
ἐξῳδηκότα	e)cw|dhko/ta	ἐξοιδέω	e)coide/w	urn:cite2:hmt:lsj.chicago_md:n37480	v-srpama-
ἐπαινέσω	e)paine/sw	ἐπαινέω	e)paine/w	urn:cite2:hmt:lsj.chicago_md:n37885	v1sasa---
ἐπαινέσω	e)paine/sw	ἐπαινέω	e)paine/w	urn:cite2:hmt:lsj.chicago_md:n37885	v1sfia---
ἐπαινέσω	e)paine/sw	ἐπαινέω	e)paine/w	urn:cite2:hmt:lsj.chicago_md:n37885	v2saim---
ἐπαρκέσαι	e)parke/sai	ἐπαρκέω	e)parke/w	urn:cite2:hmt:lsj.chicago_md:n38313	v--ana---
ἐπαρκέσαι	e)parke/sai	ἐπαρκέω	e)parke/w	urn:cite2:hmt:lsj.chicago_md:n38313	v3saoa---
ἐπεγκέλευέ	e)pegke/leue/	ἐπεγκελεύω	e)pegkeleu/w	urn:cite2:hmt:lsj.chicago_md:n38443	v2spma---
ἐπεγκέλευέ	e)pegke/leue/	ἐπεγκελεύω	e)pegkeleu/w	urn:cite2:hmt:lsj.chicago_md:n38443	v2spma---
ἐπεγκέλευέ	e)pegke/leue/	ἐπεγκελεύω	e)pegkeleu/w	urn:cite2:hmt:lsj.chicago_md:n38443	v3siia---
ἐπεγκέλευέ	e)pegke/leue/	ἐπεγκελεύω	e)pegkeleu/w	urn:cite2:hmt:lsj.chicago_md:n38443	v3siia---
ἐπεγχέων	e)pegxe/wn	ἐπεγχέω	e)pegxe/w	urn:cite2:hmt:lsj.chicago_md:n38458	v-sppamn-
ἐπεγχέων	e)pegxe/wn	ἐπεγχέω	e)pegxe/w	urn:cite2:hmt:lsj.chicago_md:n38458	v-sppamn-
