Αἴτησόν	*ai)/thso/n	αἰτέω	ai)te/w	v2sama---
ἐκθαμβεῖσθε	e)kqambei=sqe	ἐκθαμβέομαι	e)kqambe/omai	v2ppop---
ἐκθαμβεῖσθε	e)kqambei=sqe	ἐκθαμβέομαι	e)kqambe/omai	v2ppip---
ἐκθαμβεῖσθε	e)kqambei=sqe	ἐκθαμβέομαι	e)kqambe/omai	v2piip---
ἐκθαμβεῖσθε	e)kqambei=sqe	ἐκθαμβέω	e)kqambe/w	v2ppme---
ἐκθαμβεῖσθε	e)kqambei=sqe	ἐκθαμβέω	e)kqambe/w	v2ppoe---
ἐκθαμβεῖσθε	e)kqambei=sqe	ἐκθαμβέω	e)kqambe/w	v2ppie---
ἐκθαμβεῖσθε	e)kqambei=sqe	ἐκθαμβέω	e)kqambe/w	v2piie---
ἐκλεκτούς	e)klektou/s	ἐκλεκτός	e)klekto/s	a-p---ma-
ἐκλυθήσονται	e)kluqh/sontai	ἐκλύω	e)klu/w	v3pfip---
ἐκολόβωσεν	e)kolo/bwsen	κολοβόω	kolobo/w	v3saia---
ἐκπερισσῶς	e)kperissw=s	ἐκπερισσῶς	e)kperissw=s	d--------
ἐκπορευομένου	e)kporeuome/nou	ἐκπορεύω	e)kporeu/w	v-sppemg-
ἐκπορευομένου	e)kporeuome/nou	ἐκπορεύω	e)kporeu/w	v-sppeng-
ἐκπορευομένου	e)kporeuome/nou	ἐκπορεύω	e)kporeu/w	v-sppemg-
ἐκπορευομένου	e)kporeuome/nou	ἐκπορεύω	e)kporeu/w	v-sppeng-
ἐκπορευόμενοι	e)kporeuo/menoi	ἐκπορεύω	e)kporeu/w	v-pppemn-
ἐκπορευόμενοι	e)kporeuo/menoi	ἐκπορεύω	e)kporeu/w	v-pppemv-
ἐκπορευόμενοι	e)kporeuo/menoi	ἐκπορεύω	e)kporeu/w	v-pppemn-
ἐκπορευόμενοι	e)kporeuo/menoi	ἐκπορεύω	e)kporeu/w	v-pppemv-
ἐκπορευόμενον	e)kporeuo/menon	ἐκπορεύω	e)kporeu/w	v-sppema-
ἐκπορευόμενον	e)kporeuo/menon	ἐκπορεύω	e)kporeu/w	v-sppenn-
ἐκπορευόμενον	e)kporeuo/menon	ἐκπορεύω	e)kporeu/w	v-sppenv-
ἐκπορευόμενον	e)kporeuo/menon	ἐκπορεύω	e)kporeu/w	v-sppena-
ἐκπορευόμενον	e)kporeuo/menon	ἐκπορεύω	e)kporeu/w	v-sppema-
ἐκπορευόμενον	e)kporeuo/menon	ἐκπορεύω	e)kporeu/w	v-sppenn-
ἐκπορευόμενον	e)kporeuo/menon	ἐκπορεύω	e)kporeu/w	v-sppenv-
ἐκπορευόμενον	e)kporeuo/menon	ἐκπορεύω	e)kporeu/w	v-sppena-
ἐκπορευόμενά	e)kporeuo/mena/	ἐκπορεύω	e)kporeu/w	v-pppenn-
ἐκπορευόμενά	e)kporeuo/mena/	ἐκπορεύω	e)kporeu/w	v-pppenv-
ἐκπορευόμενά	e)kporeuo/mena/	ἐκπορεύω	e)kporeu/w	v-pppena-
ἐκπορευόμενά	e)kporeuo/mena/	ἐκπορεύω	e)kporeu/w	v-pppenn-
ἐκπορευόμενά	e)kporeuo/mena/	ἐκπορεύω	e)kporeu/w	v-pppenv-
ἐκπορευόμενά	e)kporeuo/mena/	ἐκπορεύω	e)kporeu/w	v-pppena-
ἐκπορεύεται	e)kporeu/etai	ἐκπορεύω	e)kporeu/w	v3spie---
ἐκπορεύεται	e)kporeu/etai	ἐκπορεύω	e)kporeu/w	v3spie---
ἐκπορεύονται	e)kporeu/ontai	ἐκπορεύω	e)kporeu/w	v3ppie---
ἐκπορεύονται	e)kporeu/ontai	ἐκπορεύω	e)kporeu/w	v3ppie---
ἐκρατήσατέ	e)krath/sate/	κρατέω	krate/w	v2paia---
ἐκράτησαν	e)kra/thsan	κρατέω	krate/w	v3paia---
ἐκράτησεν	e)kra/thsen	κρατέω	krate/w	v3saia---
ἐκστάσει	e)ksta/sei	ἔκστασις	e)/kstasis	n-d---fn-
ἐκστάσει	e)ksta/sei	ἔκστασις	e)/kstasis	n-d---fv-
ἐκστάσει	e)ksta/sei	ἔκστασις	e)/kstasis	n-d---fa-
ἐκστάσει	e)ksta/sei	ἔκστασις	e)/kstasis	n-s---fd-
ἐκστάσει	e)ksta/sei	ἔκστασις	e)/kstasis	n-s---fd-
ἐκστάσει	e)ksta/sei	ἐξίστημι	e)ci/sthmi	v3sasa---
ἐκστάσει	e)ksta/sei	ἐξίστημι	e)ci/sthmi	v2sfim---
ἐκστάσει	e)ksta/sei	ἐξίστημι	e)ci/sthmi	v3sfia---
ἐκστάσει	e)ksta/sei	ἐκστάζω	e)ksta/zw	v3sasa---
ἐκστάσει	e)ksta/sei	ἐκστάζω	e)ksta/zw	v2sfim---
ἐκστάσει	e)ksta/sei	ἐκστάζω	e)ksta/zw	v3sfia---
ἐκτείνας	e)ktei/nas	ἐκτείνω	e)ktei/nw	v-sapamn-
ἐκτείνας	e)ktei/nas	ἐκτείνω	e)ktei/nw	v-sapamv-
ἐκτινάξατε	e)ktina/cate	ἐκτινάσσω	e)ktina/ssw	v2pama---
ἐκτινάξατε	e)ktina/cate	ἐκτινάσσω	e)ktina/ssw	v2pama---
ἐκτινάξατε	e)ktina/cate	ἐκτινάσσω	e)ktina/ssw	v2paia---
ἐκτινάξατε	e)ktina/cate	ἐκτινάσσω	e)ktina/ssw	v2paia---
ἐκυλίετο	e)kuli/eto	κυλίω	kuli/w	v3siie---
ἐκφύῃ	e)kfu/h|	ἐκφύω	e)kfu/w	v2sasm---
ἐκφύῃ	e)kfu/h|	ἐκφύω	e)kfu/w	v3sasa---
ἐκφύῃ	e)kfu/h|	ἐκφύω	e)kfu/w	v2spse---
ἐκφύῃ	e)kfu/h|	ἐκφύω	e)kfu/w	v2spie---
ἐκφύῃ	e)kfu/h|	ἐκφύω	e)kfu/w	v3spsa---
ἐκωλύομεν	e)kwlu/omen	κωλύω	kwlu/w	v1piia---
ἐκάθητο	e)ka/qhto	κατά-κάθημαι	kata/-ka/qhmai	v3siim---
ἐκάθισεν	e)ka/qisen	καθίζω	kaqi/zw	v3saia---
ἐκάλεσεν	e)ka/lesen	καλέω	kale/w	v3saia---
ἐκήρυξαν	e)kh/rucan	κηρύσσω	khru/ssw	v3paia---
ἐκήρυσσεν	e)kh/russen	κηρύσσω	khru/ssw	v3siia---
ἐκήρυσσον	e)kh/russon	κηρύσσω	khru/ssw	v3piia---
ἐκήρυσσον	e)kh/russon	κηρύσσω	khru/ssw	v1siia---
ἐκόπασεν	e)ko/pasen	κοπάζω	kopa/zw	v3saia---
ἐλαίῳ	e)lai/w|	ἔλαιον	e)/laion	n-s---nd-
ἐλαίῳ	e)lai/w|	ἔλαιος	e)/laios	n-s---md-
ἐλαύνειν	e)lau/nein	ἐλαύνω	e)lau/nw	v--pna---
ἐλεύσεται	e)leu/setai	ἔρχομαι	e)/rxomai	v3sfim---
ἐλεύσονται	e)leu/sontai	ἔρχομαι	e)/rxomai	v3pfim---
ἐληλυθυῖαν	e)lhluqui=an	ἔρχομαι	e)/rxomai	v-srpafa-
ἐλθεῖν	e)lqei=n	ἔρχομαι	e)/rxomai	v--ana---
ἐλθοῦσα	e)lqou=sa	ἔρχομαι	e)/rxomai	v-sapafn-
ἐλθοῦσα	e)lqou=sa	ἔρχομαι	e)/rxomai	v-sapafv-
ἐλθοῦσαι	e)lqou=sai	ἔρχομαι	e)/rxomai	v-papafn-
ἐλθοῦσαι	e)lqou=sai	ἔρχομαι	e)/rxomai	v-papafv-
ἐλθόντες	e)lqo/ntes	ἔρχομαι	e)/rxomai	v-papamn-
ἐλθόντες	e)lqo/ntes	ἔρχομαι	e)/rxomai	v-papamv-
ἐλθών	e)lqw/n	ἔρχομαι	e)/rxomai	v-sapamn-
ἐλάβετε	e)la/bete	λαμβάνω	lamba/nw	v2paia---
ἐλάλει	e)la/lei	λαλέω	lale/w	v3siia---
ἐλάλησεν	e)la/lhsen	λαλέω	lale/w	v3saia---
ἐλέησόν	e)le/hso/n	ἐλεάω	e)lea/w	v2sama---
ἐλέησόν	e)le/hso/n	ἐλεέω	e)lee/w	v2sama---
ἐλήλυθεν	e)lh/luqen	ἔρχομαι	e)/rxomai	v3sria---
ἐλήλυθεν	e)lh/luqen	ἔρχομαι	e)/rxomai	v3plia---
ἐλύθη	e)lu/qh	λύω	lu/w	v3saip---
ἐμβαπτόμενος	e)mbapto/menos	ἐμβάπτω	e)mba/ptw	v-sppemn-
ἐμβαίνοντος	e)mbai/nontos	ἐμβαίνω	e)mbai/nw	v-sppamg-
ἐμβαίνοντος	e)mbai/nontos	ἐμβαίνω	e)mbai/nw	v-sppang-
ἐμβλέψας	e)mble/yas	ἐμβλέπω	e)mble/pw	v-sapamn-
ἐμβλέψας	e)mble/yas	ἐμβλέπω	e)mble/pw	v-sapamv-
ἐμβλέψασα	e)mble/yasa	ἐμβλέπω	e)mble/pw	v-sapafn-
ἐμβλέψασα	e)mble/yasa	ἐμβλέπω	e)mble/pw	v-sapafv-
ἐμβριμησάμενος	e)mbrimhsa/menos	ἐμβριμάομαι	e)mbrima/omai	v-sapemn-
ἐμβριμησάμενος	e)mbrimhsa/menos	ἐμβριμάομαι	e)mbrima/omai	v-sapemn-
ἐμβάντα	e)mba/nta	ἐμβαίνω	e)mbai/nw	v-papann-
ἐμβάντα	e)mba/nta	ἐμβαίνω	e)mbai/nw	v-papanv-
ἐμβάντα	e)mba/nta	ἐμβαίνω	e)mbai/nw	v-papana-
ἐμβάντα	e)mba/nta	ἐμβαίνω	e)mbai/nw	v-sapama-
ἐμβάς	e)mba/s	ἐμβάς	e)mba/s	n-s---fn-
ἐμβάς	e)mba/s	ἐμβαίνω	e)mbai/nw	v-sapamn-
ἐμβάς	e)mba/s	ἐμβαίνω	e)mbai/nw	v-sapamv-
ἐμβῆναι	e)mbh=nai	ἐμβαίνω	e)mbai/nw	v--ana---
ἐμερίσθη	e)meri/sqh	μερίζω	meri/zw	v3saip---
ἐμοί	e)moi/	ἐγώ	e)gw/	p-s---md-
ἐμοί	e)moi/	ἐγώ	e)gw/	p-s---fd-
ἐμοί	e)moi/	ἐμός	e)mo/s	a-p---mn-
ἐμοί	e)moi/	ἐμός	e)mo/s	a-p---mv-
ἐμούς	e)mou/s	ἐμός	e)mo/s	a-p---ma-
ἐμοῦ	e)mou=	ἐγώ	e)gw/	p-s---mg-
ἐμοῦ	e)mou=	ἐγώ	e)gw/	p-s---fg-
ἐμοῦ	e)mou=	ἐμέω	e)me/w	v2spme---
ἐμοῦ	e)mou=	ἐμέω	e)me/w	v2siie---
ἐμοῦ	e)mou=	ἐμός	e)mo/s	a-s---mg-
ἐμοῦ	e)mou=	ἐμός	e)mo/s	a-s---ng-
ἐμπαίζοντες	e)mpai/zontes	ἐμπαίζω	e)mpai/zw	v-pppamn-
ἐμπαίζοντες	e)mpai/zontes	ἐμπαίζω	e)mpai/zw	v-pppamv-
ἐμπαίζοντες	e)mpai/zontes	ἐμπαίζω	e)mpai/zw	v-pppamn-
ἐμπαίζοντες	e)mpai/zontes	ἐμπαίζω	e)mpai/zw	v-pppamv-
ἐμπαίζοντες	e)mpai/zontes	ἐμπαίζω	e)mpai/zw	v-pppamn-
ἐμπαίζοντες	e)mpai/zontes	ἐμπαίζω	e)mpai/zw	v-pppamv-
ἐμπαίζοντες	e)mpai/zontes	ἐμπαίζω	e)mpai/zw	v-pppamn-
ἐμπαίζοντες	e)mpai/zontes	ἐμπαίζω	e)mpai/zw	v-pppamv-
ἐμπαίξουσιν	e)mpai/cousin	ἐμπαίζω	e)mpai/zw	v3pasa---
ἐμπαίξουσιν	e)mpai/cousin	ἐμπαίζω	e)mpai/zw	v-pfpamd-
ἐμπαίξουσιν	e)mpai/cousin	ἐμπαίζω	e)mpai/zw	v-pfpand-
ἐμπαίξουσιν	e)mpai/cousin	ἐμπαίζω	e)mpai/zw	v3pfia---
ἐμπαίξουσιν	e)mpai/cousin	ἐμπαίζω	e)mpai/zw	v3pasa---
ἐμπαίξουσιν	e)mpai/cousin	ἐμπαίζω	e)mpai/zw	v-pfpamd-
ἐμπαίξουσιν	e)mpai/cousin	ἐμπαίζω	e)mpai/zw	v-pfpand-
ἐμπαίξουσιν	e)mpai/cousin	ἐμπαίζω	e)mpai/zw	v3pfia---
ἐμπτύειν	e)mptu/ein	ἐμπτύω	e)mptu/w	v--pna---
ἐμπτύσουσιν	e)mptu/sousin	ἐμπτύω	e)mptu/w	v3pasa---
ἐμπτύσουσιν	e)mptu/sousin	ἐμπτύω	e)mptu/w	v-pfpamd-
ἐμπτύσουσιν	e)mptu/sousin	ἐμπτύω	e)mptu/w	v-pfpand-
ἐμπτύσουσιν	e)mptu/sousin	ἐμπτύω	e)mptu/w	v3pfia---
ἐμέ	e)me/	ἐγώ	e)gw/	p-s---ma-
ἐμέ	e)me/	ἐγώ	e)gw/	p-s---fa-
ἐμέ	e)me/	ἐμός	e)mo/s	a-s---mv-
ἐμέρισεν	e)me/risen	μερίζω	meri/zw	v3saia---
ἐμόν	e)mo/n	ἐμός	e)mo/s	a-s---ma-
ἐμόν	e)mo/n	ἐμός	e)mo/s	a-s---nn-
ἐμόν	e)mo/n	ἐμός	e)mo/s	a-s---nv-
ἐμόν	e)mo/n	ἐμός	e)mo/s	a-s---na-
ἐν	e)n	ἐν	e)n	r--------
ἐν	e)n	εἰς	ei)s	r--------
ἐναγκαλισάμενος	e)nagkalisa/menos	ἐναγκαλίζομαι	e)nagkali/zomai	v-sapemn-
ἐναγκαλισάμενος	e)nagkalisa/menos	ἐναγκαλίζομαι	e)nagkali/zomai	v-sapmmn-
ἐναντίας	e)nanti/as	ἐναντίος	e)nanti/os	a-p---fa-
ἐναντίας	e)nanti/as	ἐναντίος	e)nanti/os	a-s---fg-
ἐναντίος	e)nanti/os	ἐναντίος	e)nanti/os	a-s---mn-
ἐνδεδυμένος	e)ndedume/nos	ἐνδύω	e)ndu/w	v-srpemn-
ἐνδιδύσκουσιν	e)ndidu/skousin	ἐνδιδύσκω	e)ndidu/skw	v-pppamd-
ἐνδιδύσκουσιν	e)ndidu/skousin	ἐνδιδύσκω	e)ndidu/skw	v-pppand-
ἐνδιδύσκουσιν	e)ndidu/skousin	ἐνδιδύσκω	e)ndidu/skw	v3ppia---
ἐνδύσασθαι	e)ndu/sasqai	ἐνδύω	e)ndu/w	v--anm---
ἐνεβριμῶντο	e)nebrimw=nto	ἐμβριμάομαι	e)mbrima/omai	v3piie---
ἐνεβριμῶντο	e)nebrimw=nto	ἐμβριμάομαι	e)mbrima/omai	v3piie---
ἐνεργοῦσιν	e)nergou=sin	ἐνεργέω	e)nerge/w	v-pppamd-
ἐνεργοῦσιν	e)nergou=sin	ἐνεργέω	e)nerge/w	v-pppand-
ἐνεργοῦσιν	e)nergou=sin	ἐνεργέω	e)nerge/w	v3ppia---
ἐνεργοῦσιν	e)nergou=sin	ἐνεργέω	e)nerge/w	v-pppamd-
ἐνεργοῦσιν	e)nergou=sin	ἐνεργέω	e)nerge/w	v-pppand-
ἐνεργοῦσιν	e)nergou=sin	ἐνεργέω	e)nerge/w	v3ppia---
ἐνετείλατο	e)netei/lato	ἐντέλλω	e)nte/llw	v3saim---
ἐνείλησεν	e)nei/lhsen	ἐνείλλω	e)nei/llw	v3saia---
ἐνείλησεν	e)nei/lhsen	ἐνείλλω	e)nei/llw	v3saia---
ἐνείλησεν	e)nei/lhsen	ἐνειλέω	e)neile/w	v3saia---
ἐνεῖχεν	e)nei=xen	ἐνέχω	e)ne/xw	v3siia---
ἐνταφιασμόν	e)ntafiasmo/n	ἐνταφιασμός	e)ntafiasmo/s	n-s---ma-
ἐντολάς	e)ntola/s	ἐντολή	e)ntolh/	n-p---fa-
ἐντολή	e)ntolh/	ἐντολή	e)ntolh/	n-s---fn-
ἐντολή	e)ntolh/	ἐντολή	e)ntolh/	n-s---fv-
ἐντολήν	e)ntolh/n	ἐντολή	e)ntolh/	n-s---fa-
ἐντάλματα	e)nta/lmata	ἔνταλμα	e)/ntalma	n-p---nn-
ἐντάλματα	e)nta/lmata	ἔνταλμα	e)/ntalma	n-p---nv-
ἐντάλματα	e)nta/lmata	ἔνταλμα	e)/ntalma	n-p---na-
ἐνάτης	e)na/ths	ἔνατος	e)/natos	a-s---fg-
ἐνάτῃ	e)na/th|	ἔνατος	e)/natos	a-s---fd-
ἐνέβλεπεν	e)ne/blepen	ἐμβλέπω	e)mble/pw	v3siia---
ἐνέγκαι	e)ne/gkai	φέρω	fe/rw	v--ana---
ἐνέγκαι	e)ne/gkai	φέρω	fe/rw	v3saoa---
ἐνέδυσαν	e)ne/dusan	ἐνδύω	e)ndu/w	v3paia---
ἐνέπαιξαν	e)ne/paican	ἐμπαίζω	e)mpai/zw	v3paia---
ἐνέπτυον	e)ne/ptuon	ἐμπτύω	e)mptu/w	v3piia---
ἐνέπτυον	e)ne/ptuon	ἐμπτύω	e)mptu/w	v1siia---
ἐξ	e)c	ἐκ	e)k	r--------
ἐξαναστήσῃ	e)canasth/sh|	ἐξανίστημι	e)cani/sthmi	v2sasm---
ἐξαναστήσῃ	e)canasth/sh|	ἐξανίστημι	e)cani/sthmi	v3sasa---
ἐξαναστήσῃ	e)canasth/sh|	ἐξανίστημι	e)cani/sthmi	v2sfim---
ἐξανέτειλεν	e)cane/teilen	ἐξανατέλλω	e)canate/llw	v3saia---
ἐξαπέστειλεν	e)cape/steilen	ἐξαποστέλλω	e)caposte/llw	v3saia---
ἐξαυτῆς	e)cauth=s	ἐξαυτῆς	e)cauth=s	d--------
ἐξεθαμβήθησαν	e)ceqambh/qhsan	ἐκ-θαμβέω	e)k-qambe/w	v3paip---
ἐξεθαύμαζον	e)ceqau/mazon	ἐκ-θαυμάζω	e)k-qauma/zw	v3piia---
ἐξεθαύμαζον	e)ceqau/mazon	ἐκ-θαυμάζω	e)k-qauma/zw	v1siia---
ἐξεληλυθός	e)celhluqo/s	ἐξέρχομαι	e)ce/rxomai	v-srpann-
ἐξεληλυθός	e)celhluqo/s	ἐξέρχομαι	e)ce/rxomai	v-srpanv-
ἐξεληλυθός	e)celhluqo/s	ἐξέρχομαι	e)ce/rxomai	v-srpana-
ἐξελθεῖν	e)celqei=n	ἐξέρχομαι	e)ce/rxomai	v--ana---
ἐξελθοῦσα	e)celqou=sa	ἐξέρχομαι	e)ce/rxomai	v-sapafn-
ἐξελθοῦσα	e)celqou=sa	ἐξέρχομαι	e)ce/rxomai	v-sapafv-
ἐξελθοῦσαι	e)celqou=sai	ἐξέρχομαι	e)ce/rxomai	v-papafn-
ἐξελθοῦσαι	e)celqou=sai	ἐξέρχομαι	e)ce/rxomai	v-papafv-
ἐξελθοῦσαν	e)celqou=san	ἐξέρχομαι	e)ce/rxomai	v-sapafa-
ἐξελθόντα	e)celqo/nta	ἐξέρχομαι	e)ce/rxomai	v-papann-
ἐξελθόντα	e)celqo/nta	ἐξέρχομαι	e)ce/rxomai	v-papanv-
ἐξελθόντα	e)celqo/nta	ἐξέρχομαι	e)ce/rxomai	v-papana-
ἐξελθόντα	e)celqo/nta	ἐξέρχομαι	e)ce/rxomai	v-sapama-
ἐξελθόντες	e)celqo/ntes	ἐξέρχομαι	e)ce/rxomai	v-papamn-
ἐξελθόντες	e)celqo/ntes	ἐξέρχομαι	e)ce/rxomai	v-papamv-
ἐξελθόντος	e)celqo/ntos	ἐξέρχομαι	e)ce/rxomai	v-sapamg-
ἐξελθόντος	e)celqo/ntos	ἐξέρχομαι	e)ce/rxomai	v-sapang-
ἐξελθόντων	e)celqo/ntwn	ἐξέρχομαι	e)ce/rxomai	v-papamg-
ἐξελθόντων	e)celqo/ntwn	ἐξέρχομαι	e)ce/rxomai	v-papang-
ἐξελθόντων	e)celqo/ntwn	ἐξέρχομαι	e)ce/rxomai	v3pama---
ἐξελθών	e)celqw/n	ἐξέρχομαι	e)ce/rxomai	v-sapamn-
ἐξελέξατο	e)cele/cato	ἐκλέγω	e)kle/gw	v3saim---
ἐξελήλυθεν	e)celh/luqen	ἐξέρχομαι	e)ce/rxomai	v3sria---
ἐξελήλυθεν	e)celh/luqen	ἐξέρχομαι	e)ce/rxomai	v3plia---
ἐξεπλήσσετο	e)ceplh/sseto	ἐκπλήσσω	e)kplh/ssw	v3siie---
ἐξεπλήσσοντο	e)ceplh/ssonto	ἐκπλήσσω	e)kplh/ssw	v3piie---
ἐξεπορεύετο	e)ceporeu/eto	ἐκπορεύω	e)kporeu/w	v3siie---
ἐξεπορεύοντο	e)ceporeu/onto	ἐκπορεύω	e)kporeu/w	v3piie---
ἐξηραμμένην	e)chramme/nhn	ξηραίνω	chrai/nw	v-srpefa-
ἐξηράνθη	e)chra/nqh	ξηραίνω	chrai/nw	v3saip---
ἐξομολογούμενοι	e)comologou/menoi	ἐξομολογέομαι	e)comologe/omai	v-pppemn-
ἐξομολογούμενοι	e)comologou/menoi	ἐξομολογέομαι	e)comologe/omai	v-pppemv-
ἐξομολογούμενοι	e)comologou/menoi	ἐξομολογέομαι	e)comologe/omai	v-pppemn-
ἐξομολογούμενοι	e)comologou/menoi	ἐξομολογέομαι	e)comologe/omai	v-pppemv-
ἐξορύξαντες	e)coru/cantes	ἐξορύσσω	e)coru/ssw	v-papamn-
ἐξορύξαντες	e)coru/cantes	ἐξορύσσω	e)coru/ssw	v-papamv-
ἐξορύξαντες	e)coru/cantes	ἐξορύσσω	e)coru/ssw	v-papamn-
ἐξορύξαντες	e)coru/cantes	ἐξορύσσω	e)coru/ssw	v-papamv-
ἐξουδενηθῇ	e)coudenhqh=|	ἐξουδενέω	e)coudene/w	v3sasp---
ἐξουσίαν	e)cousi/an	ἐξουσία	e)cousi/a	n-s---fa-
ἐξουσίᾳ	e)cousi/a|	ἐξουσία	e)cousi/a	n-p---fn-
ἐξουσίᾳ	e)cousi/a|	ἐξουσία	e)cousi/a	n-p---fv-
ἐξουσίᾳ	e)cousi/a|	ἐξουσία	e)cousi/a	n-s---fd-
ἐξάγουσιν	e)ca/gousin	ἐξάγω	e)ca/gw	v-pppamd-
ἐξάγουσιν	e)ca/gousin	ἐξάγω	e)ca/gw	v-pppand-
ἐξάγουσιν	e)ca/gousin	ἐξάγω	e)ca/gw	v3ppia---
ἐξάπινα	e)ca/pina	ἐξάπινα	e)ca/pina	d--------
ἐξέβαλεν	e)ce/balen	ἐκβάλλω	e)kba/llw	v3saia---
ἐξέβαλεν	e)ce/balen	ἐκβάλλω	e)kba/llw	v3saia---
ἐξέβαλλον	e)ce/ballon	ἐκβάλλω	e)kba/llw	v3piia---
ἐξέβαλλον	e)ce/ballon	ἐκβάλλω	e)kba/llw	v1siia---
ἐξέβαλον	e)ce/balon	ἐκβάλλω	e)kba/llw	v3paia---
ἐξέβαλον	e)ce/balon	ἐκβάλλω	e)kba/llw	v1saia---
ἐξέδετο	e)ce/deto	ἐκ-ἔδω	e)k-e)/dw	v3siie---
ἐξέδυσαν	e)ce/dusan	ἐκδύω	e)kdu/w	v3paia---
ἐξέλθητε	e)ce/lqhte	ἐξέρχομαι	e)ce/rxomai	v2pasa---
ἐξέλθητε	e)ce/lqhte	ἐξέρχομαι	e)ce/rxomai	v2pasa---
ἐξέπνευσεν	e)ce/pneusen	ἐκπνέω	e)kpne/w	v3saia---
ἐξέστη	e)ce/sth	ἐξίστημι	e)ci/sthmi	v1slia---
ἐξέστη	e)ce/sth	ἐξίστημι	e)ci/sthmi	v3saia---
ἐξέστησαν	e)ce/sthsan	ἐξίστημι	e)ci/sthmi	v3paia---
ἐξέστησαν	e)ce/sthsan	ἐξίστημι	e)ci/sthmi	v3paia---
ἐξέτεινεν	e)ce/teinen	ἐκτείνω	e)ktei/nw	v3saia---
ἐξέτεινεν	e)ce/teinen	ἐκτείνω	e)ktei/nw	v3siia---
ἐξήγγειλαν	e)ch/ggeilan	ἐξαγγέλλω	e)cagge/llw	v3paia---
ἐξήλθατε	e)ch/lqate	ἐξέρχομαι	e)ce/rxomai	v2paia---
ἐξήνεγκεν	e)ch/negken	ἐκφέρω	e)kfe/rw	v3saia---
ἐξήνεγκεν	e)ch/negken	ἐκφέρω	e)kfe/rw	v3saia---
ἐξήρανται	e)ch/rantai	ξηραίνω	chrai/nw	v3prie---
ἐξήρανται	e)ch/rantai	ξηραίνω	chrai/nw	v3srie---
ἐξήρανται	e)ch/rantai	ξηραίνω	chrai/nw	v3prie---
ἐξήρανται	e)ch/rantai	ξηραίνω	chrai/nw	v3srie---
ἐξήρανται	e)ch/rantai	ἐξαράομαι	e)cara/omai	v3prie---
ἐξίσταντο	e)ci/stanto	ἐξίστημι	e)ci/sthmi	v3piie---
ἐξίσταντο	e)ci/stanto	ἐξίστημι	e)ci/sthmi	v3piie---
ἐξίστασθαι	e)ci/stasqai	ἐξίστημι	e)ci/sthmi	v--pne---
ἐξῆλθεν	e)ch=lqen	ἐξέρχομαι	e)ce/rxomai	v3saia---
ἐξῆλθεν	e)ch=lqen	ἐξέρχομαι	e)ce/rxomai	v3saia---
ἐξῆλθον	e)ch=lqon	ἐξέρχομαι	e)ce/rxomai	v3paia---
ἐξῆλθον	e)ch=lqon	ἐξέρχομαι	e)ce/rxomai	v1saia---
ἐπαισχυνθήσεται	e)paisxunqh/setai	ἐπαισχύνομαι	e)paisxu/nomai	v3sfie---
ἐπαισχυνθήσεται	e)paisxunqh/setai	ἐπαισχύνομαι	e)paisxu/nomai	v3sfip---
ἐπαισχυνθῇ	e)paisxunqh=|	ἐπαισχύνομαι	e)paisxu/nomai	v3sase---
ἐπαισχυνθῇ	e)paisxunqh=|	ἐπαισχύνομαι	e)paisxu/nomai	v3sasp---
ἐπακολουθούντων	e)pakolouqou/ntwn	ἐπακολουθέω	e)pakolouqe/w	v-pppamg-
ἐπακολουθούντων	e)pakolouqou/ntwn	ἐπακολουθέω	e)pakolouqe/w	v-pppang-
ἐπακολουθούντων	e)pakolouqou/ntwn	ἐπακολουθέω	e)pakolouqe/w	v3ppma---
ἐπακολουθούντων	e)pakolouqou/ntwn	ἐπακολουθέω	e)pakolouqe/w	v-pppamg-
ἐπακολουθούντων	e)pakolouqou/ntwn	ἐπακολουθέω	e)pakolouqe/w	v-pppang-
ἐπακολουθούντων	e)pakolouqou/ntwn	ἐπακολουθέω	e)pakolouqe/w	v3ppma---
ἐπαναστήσονται	e)panasth/sontai	ἐπανίστημι	e)pani/sthmi	v3pfim---
ἐπαύριον	e)pau/rion	ἐπαύριον	e)pau/rion	d--------
ἐπαύριον	e)pau/rion	ἐπαυρέω	e)paure/w	v3piia---
ἐπαύριον	e)pau/rion	ἐπαυρέω	e)paure/w	v1siia---
ἐπαύριον	e)pau/rion	ἐπαυρέω	e)paure/w	v3piia---
ἐπαύριον	e)pau/rion	ἐπαυρέω	e)paure/w	v1siia---
ἐπελάθοντο	e)pela/qonto	ἐπιλανθάνομαι	e)pilanqa/nomai	v3paim---
ἐπελάθοντο	e)pela/qonto	ἐπιλανθάνομαι	e)pilanqa/nomai	v3piie---
ἐπερωτῆσαι	e)perwth=sai	ἐπερωτάω	e)perwta/w	v--ana---
ἐπερωτῆσαι	e)perwth=sai	ἐπερωτάω	e)perwta/w	v--ana---
ἐπερωτῶσιν	e)perwtw=sin	ἐπερωτάω	e)perwta/w	v-pppamd-
ἐπερωτῶσιν	e)perwtw=sin	ἐπερωτάω	e)perwta/w	v-pppand-
ἐπερωτῶσιν	e)perwtw=sin	ἐπερωτάω	e)perwta/w	v3ppsa---
ἐπερωτῶσιν	e)perwtw=sin	ἐπερωτάω	e)perwta/w	v3ppia---
ἐπερωτῶσιν	e)perwtw=sin	ἐπερωτάω	e)perwta/w	v3ppsa---
