’	'	ἒ	e)\	x--------
Θεσσαλούς	*qessalou/s	Θεσσαλός	*qessalo/s	n-p---ma-
Θεσσαλοῦ	*qessalou=	Θεσσαλός	*qessalo/s	a-s---mg-
Θεσσαλοῦ	*qessalou=	Θεσσαλός	*qessalo/s	a-s---ng-
Θεσσαλοῦ	*qessalou=	Θεσσαλός	*qessalo/s	n-s---mg-
Θεσσαλόν	*qessalo/n	Θεσσαλός	*qessalo/s	a-s---ma-
Θεσσαλόν	*qessalo/n	Θεσσαλός	*qessalo/s	a-s---nn-
Θεσσαλόν	*qessalo/n	Θεσσαλός	*qessalo/s	a-s---nv-
Θεσσαλόν	*qessalo/n	Θεσσαλός	*qessalo/s	a-s---na-
Θεσσαλόν	*qessalo/n	Θεσσαλός	*qessalo/s	n-s---ma-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	a-p---fg-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	a-p---mg-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	a-p---ng-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	n-p---mg-
Θεσσαλῷ	*qessalw=|	Θεσσαλός	*qessalo/s	a-s---md-
Θεσσαλῷ	*qessalw=|	Θεσσαλός	*qessalo/s	a-s---nd-
Θεσσαλῷ	*qessalw=|	Θεσσαλός	*qessalo/s	n-s---md-
Θετταλοῖς	*qettaloi=s	Θεσσαλός	*qessalo/s	n-p---md-
Θετταλίαν	*qettali/an	Θεσσαλία	*qessali/a	n-s---fa-
Θετταλίαν	*qettali/an	Θεσσαλίη	*qessali/h	n-s---fa-
Θεόδωρον	*qeo/dwron	Θεόδωρος	*qeo/dwros	n-s---ma-
Θεόδωρόν	*qeo/dwro/n	Θεόδωρος	*qeo/dwros	n-s---ma-
Θεόφραστος	*qeo/frastos	Θεόφραστος	*qeo/frastos	n-s---mn-
Θεόφραστος	*qeo/frastos	θεόφραστος	qeo/frastos	n-s---mn-
Θεόφραστος	*qeo/frastos	θεόφραστος	qeo/frastos	n-s---fn-
Θηβαίους	*qhbai/ous	Θηβαῖος	*qhbai=os	a-p---ma-
Θηβαίων	*qhbai/wn	Θηβαῖος	*qhbai=os	a-p---fg-
Θηβαίων	*qhbai/wn	Θηβαῖος	*qhbai=os	a-p---mg-
Θηβαίων	*qhbai/wn	Θηβαῖος	*qhbai=os	a-p---ng-
Θηβαῖος	*qhbai=os	Θηβαῖος	*qhbai=os	a-s---mn-
Θρᾳκός	*qra|ko/s	Θρᾷξ	*qra=|c	n-s---mg-
Θρᾳκῶν	*qra|kw=n	Θρᾷξ	*qra=|c	n-p---mg-
Θρᾳκῶν	*qra|kw=n	Θρᾳκία	*qra|ki/a	n-p---fg-
Θρᾴκιον	*qra/|kion	Θρᾴκιος	*qra/|kios	a-s---ma-
Θρᾴκιον	*qra/|kion	Θρᾴκιος	*qra/|kios	a-s---nn-
Θρᾴκιον	*qra/|kion	Θρᾴκιος	*qra/|kios	a-s---nv-
