Αἰακιδᾶν	*ai)akida=n	Αἰακίδης	*ai)aki/dhs	n-p---mg-
Τρωϊκά	*trwi+ka/	Τρωικός	*trwiko/s	a-d---fa-
Τρωϊκά	*trwi+ka/	Τρωικός	*trwiko/s	a-s---fn-
Τρωϊκά	*trwi+ka/	Τρωικός	*trwiko/s	a-s---fv-
Τρωΐαν	*trwi+/an	Τροία	*troi/a	n-s---fa-
Τρωΐαν	*trwi+/an	Τρώιος	*trw/ios	a-s---fa-
Τρωΐαν	*trwi+/an	Τρωιός	*trwio/s	a-s---fa-
Τρώων	*trw/wn	Τρώς	*trw/s	n-p---mg-
Τρῳάδι	*trw|a/di	Τρῳάς	*trw|a/s	n-s---fd-
Τρῳάδος	*trw|a/dos	Τρῳάς	*trw|a/s	n-s---fg-
Τυρσηνικῆς	*turshnikh=s	Τυρηηνός	*turhhno/s	a-s---fg-
Τυρσηνικῆς	*turshnikh=s	Τυρσηνικός	*turshniko/s	a-s---fg-
Τέκμησσα	*te/kmhssa	Τέκμησσα	*te/kmhssa	n-s---fn-
Τέκμησσα	*te/kmhssa	Τέκμησσα	*te/kmhssa	n-s---fv-
Τέκμησσαν	*te/kmhssan	Τέκμησσα	*te/kmhssa	n-s---fa-
Φοῖβος	*foi=bos	Φοῖβος	*foi=bos	n-s---mn-
Φοῖβος	*foi=bos	φοῖβος	foi=bos	a-s---mn-
Φρυγίου	*frugi/ou	Φρύγιος	*fru/gios	a-s---mg-
Φρυγίου	*frugi/ou	Φρύγιος	*fru/gios	a-s---ng-
Φρυγίου	*frugi/ou	Φρύγιος	*fru/gios	n-s---mg-
Φρυγίου	*frugi/ou	Φρύγιος	*fru/gios	n-s---fg-
Φρυγίου	*frugi/ou	Φρύγιος	*fru/gios	n-s---ng-
Φρυγίου	*frugi/ou	φρύγιον	fru/gion	n-s---ng-
Φρυγίου	*frugi/ou	φρύγιος	fru/gios	a-s---mg-
Φρυγίου	*frugi/ou	φρύγιος	fru/gios	a-s---ng-
Φρυγῶν	*frugw=n	Φρύξ	*fru/c	n-p---mg-
Φρυγῶν	*frugw=n	Φρύξ	*fru/c	n-p---fg-
Φρύγα	*fru/ga	Φρύξ	*fru/c	n-s---ma-
Φρύγα	*fru/ga	Φρύξ	*fru/c	n-s---fa-
αἰανής	ai)anh/s	αἰανής	ai)anh/s	n-s---mn-
αἰανής	ai)anh/s	αἰανής	ai)anh/s	n-s---fn-
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	x--------
αἰγυπιόν	ai)gupio/n	αἰγυπιός	ai)gupio/s	n-s---ma-
αἰδεῖ	ai)dei=	αἰδέομαι	ai)de/omai	v2spie---
αἰδοῦς	ai)dou=s	αἰδώ	ai)dw/	n-p---fn-
αἰδοῦς	ai)dou=s	αἰδώ	ai)dw/	n-p---fv-
αἰδοῦς	ai)dou=s	αἰδώ	ai)dw/	n-s---fg-
αἰδοῦς	ai)dou=s	αἰδώς	ai)dw/s	n-p---fn-
αἰδοῦς	ai)dou=s	αἰδώς	ai)dw/s	n-p---fv-
αἰδοῦς	ai)dou=s	αἰδώς	ai)dw/s	n-s---fg-
αἰδῶ	ai)dw=	αἰδώ	ai)dw/	n-d---fn-
αἰδῶ	ai)dw=	αἰδώ	ai)dw/	n-d---fv-
αἰδῶ	ai)dw=	αἰδώ	ai)dw/	n-d---fa-
αἰδῶ	ai)dw=	αἰδώ	ai)dw/	n-s---fa-
αἰδῶ	ai)dw=	αἰδώς	ai)dw/s	n-d---fn-
αἰδῶ	ai)dw=	αἰδώς	ai)dw/s	n-d---fv-
αἰδῶ	ai)dw=	αἰδώς	ai)dw/s	n-d---fa-
αἰδῶ	ai)dw=	αἰδώς	ai)dw/s	n-s---fa-
αἰθέρα	ai)qe/ra	αἰθήρ	ai)qh/r	n-s---ma-
αἰκίζει	ai)ki/zei	αἰκίζομαι	ai)ki/zomai	v2spie---
αἰκίζει	ai)ki/zei	αἰκίζω	ai)ki/zw	v2spie---
αἰκίζει	ai)ki/zei	αἰκίζω	ai)ki/zw	v3spia---
αἰκίζεται	ai)ki/zetai	αἰκίζομαι	ai)ki/zomai	v3spie---
αἰκίζεται	ai)ki/zetai	αἰκίζω	ai)ki/zw	v3spie---
αἰκίσῃ	ai)ki/sh|	αἰκίζομαι	ai)ki/zomai	v2sase---
αἰκίσῃ	ai)ki/sh|	αἰκίζομαι	ai)ki/zomai	v2sfie---
αἰκίσῃ	ai)ki/sh|	αἰκίζω	ai)ki/zw	v2sasm---
αἰκίσῃ	ai)ki/sh|	αἰκίζω	ai)ki/zw	v3sasa---
αἰκίσῃ	ai)ki/sh|	αἰκίζω	ai)ki/zw	v2sfim---
αἰνοίης	ai)noi/hs	αἰνέω	ai)ne/w	v2spoa---
αἰνόν	ai)no/n	αἰνός	ai)no/s	a-s---ma-
αἰνόν	ai)no/n	αἰνός	ai)no/s	a-s---nn-
αἰνόν	ai)no/n	αἰνός	ai)no/s	a-s---nv-
αἰνόν	ai)no/n	αἰνός	ai)no/s	a-s---na-
αἰπολίοις	ai)poli/ois	αἰπόλιον	ai)po/lion	n-p---nd-
αἰπολίοις	ai)poli/ois	αἰπολέω	ai)pole/w	v2spoa---
αἰπύν	ai)pu/n	αἰπύς	ai)pu/s	a-s---ma-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---na-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fa-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---na-
αἰσχίστους	ai)sxi/stous	αἰσχρός	ai)sxro/s	a-p---ma-
αἰσχίστῳ	ai)sxi/stw|	αἰσχρός	ai)sxro/s	a-s---md-
αἰσχίστῳ	ai)sxi/stw|	αἰσχρός	ai)sxro/s	a-s---nd-
αἰσχύνας	ai)sxu/nas	αἰσχύνη	ai)sxu/nh	n-p---fa-
αἰσχύνας	ai)sxu/nas	αἰσχύνη	ai)sxu/nh	n-s---fg-
αἰσχύνας	ai)sxu/nas	αἰσχύνω	ai)sxu/nw	v-sapamn-
αἰσχύνας	ai)sxu/nas	αἰσχύνω	ai)sxu/nw	v-sapamv-
αἰσχύνη	ai)sxu/nh	αἰσχύνη	ai)sxu/nh	n-s---fn-
αἰσχύνη	ai)sxu/nh	αἰσχύνη	ai)sxu/nh	n-s---fv-
αἰσχύνοιμι	ai)sxu/noimi	αἰσχύνω	ai)sxu/nw	v1spoa---
αἰτήσομαι	ai)th/somai	αἰτέω	ai)te/w	v1sasm---
