urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302550360
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302550361
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302550363
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302550364
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302550365
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401453
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010111
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T10290110883
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312408000
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312481281
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312481282
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312481283
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312481284
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T1037371921
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312404168
