Λαμάχῳ	*lama/xw|	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---md-
Λαμάχῳ	*lama/xw|	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---fd-
Λαμάχῳ	*lama/xw|	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---nd-
Λεπρῶν	*leprw=n	λέπρα	le/pra	urn:cite2:hmt:lsj.chicago_md:n62462	n-p---fg-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v-sppamv-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v-sppann-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v-sppanv-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v-sppana-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v-sppamn-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v-sppamn-
Λεπρῶν	*leprw=n	λεπρός	lepro/s	urn:cite2:hmt:lsj.chicago_md:n62469	a-p---fg-
Λεπρῶν	*leprw=n	λεπρός	lepro/s	urn:cite2:hmt:lsj.chicago_md:n62469	a-p---mg-
Λεπρῶν	*leprw=n	λεπρός	lepro/s	urn:cite2:hmt:lsj.chicago_md:n62469	a-p---ng-
Ληναίῳ	*lhnai/w|	ληναῖος	lhnai=os	urn:cite2:hmt:lsj.chicago_md:n62927	a-s---md-
Ληναίῳ	*lhnai/w|	ληναῖος	lhnai=os	urn:cite2:hmt:lsj.chicago_md:n62927	a-s---nd-
Λάκωνας	*la/kwnas	Λάκων	*la/kwn	urn:cite2:hmt:lsj.chicago_md:n61752	n-p---ma-
Λάκωσιν	*la/kwsin	Λάκων	*la/kwn	urn:cite2:hmt:lsj.chicago_md:n61752	n-p---md-
Λάκωσιν	*la/kwsin	λάσκω	la/skw	urn:cite2:hmt:lsj.chicago_md:n62023	v3pasa---
Λάμαχε	*la/maxe	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---mv-
Λάμαχε	*la/maxe	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---fv-
