Αἰγέως	*ai)ge/ws	Αἰγίς	*ai)gi/s	urn:cite2:hmt:lsj.chicago_md:n2177	n-s---fg-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---md-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---nd-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---nd-
πᾶσι	pa=si	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---nd-
πᾶσι	pa=si	πᾶσις	pa=sis	urn:cite2:hmt:lsj.chicago_md:n79920	n-s---fv-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---md-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---md-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---md-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---nd-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---nd-
πᾶσιν	pa=sin	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---nd-
πᾶσιν	pa=sin	πᾶσις	pa=sis	urn:cite2:hmt:lsj.chicago_md:n79920	n-s---fa-
πᾶσίν	pa=si/n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---md-
πᾶσίν	pa=si/n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---md-
πᾶσίν	pa=si/n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---md-
πᾶσίν	pa=si/n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---nd-
πᾶσίν	pa=si/n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---nd-
πᾶσίν	pa=si/n	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---nd-
πᾶσίν	pa=si/n	πᾶσις	pa=sis	urn:cite2:hmt:lsj.chicago_md:n79920	n-s---fa-
πῶς	pw=s	πῶς	pw=s	urn:cite2:hmt:lsj.chicago_md:n92010	x--------
πῶς	pw=s	πῶσ2	pw=s	urn:cite2:hmt:lsj.chicago_md:n92010	d--------
πῶς	pw=s	πως	pws	urn:cite2:hmt:lsj.chicago_md:n92011	g--------
σαυτοῦ	sautou=	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---mg-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---ng-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	n-s---ng-
σαυτοῦ	sautou=	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	n-s---mg-
σαυτόν	sauto/n	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---ma-
σαυτόν	sauto/n	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	p-s---na-
σαυτόν	sauto/n	σαυτοῦ	sautou=	urn:cite2:hmt:lsj.chicago_md:n93465a	n-s---ma-
σαφεστέρων	safeste/rwn	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-p---fg-
σαφεστέρων	safeste/rwn	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-p---mg-
σαφεστέρων	safeste/rwn	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-p---ng-
σαφής	safh/s	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-s---mn-
σαφής	safh/s	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	n-s---fn-
σαφῶς	safw=s	σαφής	safh/s	urn:cite2:hmt:lsj.chicago_md:n93478	x--------
σαί	sai/	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-p---fn-
σαί	sai/	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-p---fv-
σαίνει	sai/nei	σαίνω	sai/nw	urn:cite2:hmt:lsj.chicago_md:n93056	v2spie---
σαίνει	sai/nei	σαίνω	sai/nw	urn:cite2:hmt:lsj.chicago_md:n93056	v3spia---
σαῖσιν	sai=sin	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-p---fd-
σε	se	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----a-
σεβισθείς	sebisqei/s	σεβίζω	sebi/zw	urn:cite2:hmt:lsj.chicago_md:n93531	v-sappmn-
σεβισθείς	sebisqei/s	σεβίζω	sebi/zw	urn:cite2:hmt:lsj.chicago_md:n93531	v-sappmv-
σεβίζειν	sebi/zein	σεβίζω	sebi/zw	urn:cite2:hmt:lsj.chicago_md:n93531	v--pna---
σεισμόν	seismo/n	σεισμός	seismo/s	urn:cite2:hmt:lsj.chicago_md:n93585	n-s---ma-
σεμναῖσι	semnai=si	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---fd-
σεμνά	semna/	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-p---nn-
σεμνά	semna/	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-p---nv-
σεμνά	semna/	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-p---na-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---nn-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---nv-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---na-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-d---fn-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-d---fv-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-d---fa-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-s---fn-
σεμνά	semna/	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-s---fv-
σεμνόν	semno/n	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-s---nn-
σεμνόν	semno/n	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-s---nv-
σεμνόν	semno/n	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-s---na-
σεμνόν	semno/n	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-s---ma-
σεμνόν	semno/n	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-s---nn-
σεμνόν	semno/n	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-s---nv-
σεμνόν	semno/n	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-s---na-
σεμνός	semno/s	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-s---mn-
σεμνῶν	semnw=n	σεμνόν	semno/n	urn:cite2:hmt:lsj.chicago_md:n93702	n-p---ng-
σεμνῶν	semnw=n	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---fg-
σεμνῶν	semnw=n	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---mg-
σεμνῶν	semnw=n	σεμνός	semno/s	urn:cite2:hmt:lsj.chicago_md:n93711	a-p---ng-
σεμνῶν	semnw=n	σεμνόω	semno/w	urn:cite2:hmt:lsj.chicago_md:n93717	v-sppamv-
σεμνῶν	semnw=n	σεμνόω	semno/w	urn:cite2:hmt:lsj.chicago_md:n93717	v-sppann-
σεμνῶν	semnw=n	σεμνόω	semno/w	urn:cite2:hmt:lsj.chicago_md:n93717	v-sppanv-
σεμνῶν	semnw=n	σεμνόω	semno/w	urn:cite2:hmt:lsj.chicago_md:n93717	v-sppana-
σεμνῶν	semnw=n	σεμνόω	semno/w	urn:cite2:hmt:lsj.chicago_md:n93717	v-sppamn-
σεμνῶν	semnw=n	σεμνόω	semno/w	urn:cite2:hmt:lsj.chicago_md:n93717	v--pna---
σημανοῦσ’	shmanou=s'	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v-sfpafn-
σημανοῦσ’	shmanou=s'	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v-sfpafv-
σημανοῦσ’	shmanou=s'	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v-pfpamd-
σημανοῦσ’	shmanou=s'	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v-pfpand-
σημανοῦσ’	shmanou=s'	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v3pfia---
σημανοῦσ’	shmanou=s'	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v-pfpafn-
σημανοῦσ’	shmanou=s'	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v-pfpafv-
σημαίνει	shmai/nei	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v2spie---
σημαίνει	shmai/nei	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v3spia---
σημαίνουσι	shmai/nousi	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v-pppamd-
σημαίνουσι	shmai/nousi	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v-pppand-
σημαίνουσι	shmai/nousi	σημαίνω	shmai/nw	urn:cite2:hmt:lsj.chicago_md:n93789	v3ppia---
σημεῖα	shmei=a	σημεῖον	shmei=on	urn:cite2:hmt:lsj.chicago_md:n93812	n-p---nn-
σημεῖα	shmei=a	σημεῖον	shmei=on	urn:cite2:hmt:lsj.chicago_md:n93812	n-p---nv-
σημεῖα	shmei=a	σημεῖον	shmei=on	urn:cite2:hmt:lsj.chicago_md:n93812	n-p---na-
σθένει	sqe/nei	σθένος	sqe/nos	urn:cite2:hmt:lsj.chicago_md:n93917	n-d---nn-
σθένει	sqe/nei	σθένος	sqe/nos	urn:cite2:hmt:lsj.chicago_md:n93917	n-d---nv-
σθένει	sqe/nei	σθένος	sqe/nos	urn:cite2:hmt:lsj.chicago_md:n93917	n-d---na-
σθένει	sqe/nei	σθένος	sqe/nos	urn:cite2:hmt:lsj.chicago_md:n93917	n-s---nd-
σθένει	sqe/nei	σθένος	sqe/nos	urn:cite2:hmt:lsj.chicago_md:n93917	n-s---nd-
σθένει	sqe/nei	σθένω	sqe/nw	urn:cite2:hmt:lsj.chicago_md:n93919	v2spie---
σθένει	sqe/nei	σθένω	sqe/nw	urn:cite2:hmt:lsj.chicago_md:n93919	v3spia---
σθένοι	sqe/noi	σθένω	sqe/nw	urn:cite2:hmt:lsj.chicago_md:n93919	v3spoa---
σθένοιμεν	sqe/noimen	σθένω	sqe/nw	urn:cite2:hmt:lsj.chicago_md:n93919	v1ppoa---
σθένοιμεν	sqe/noimen	σθενόω	sqeno/w	urn:cite2:hmt:lsj.chicago_md:n93918	v1ppoa---
σθένος	sqe/nos	σθένος	sqe/nos	urn:cite2:hmt:lsj.chicago_md:n93917	n-s---nn-
σθένος	sqe/nos	σθένος	sqe/nos	urn:cite2:hmt:lsj.chicago_md:n93917	n-s---nv-
σθένος	sqe/nos	σθένος	sqe/nos	urn:cite2:hmt:lsj.chicago_md:n93917	n-s---na-
σθένουσαν	sqe/nousan	σθένω	sqe/nw	urn:cite2:hmt:lsj.chicago_md:n93919	v-sppafa-
σθένω	sqe/nw	σθένω	sqe/nw	urn:cite2:hmt:lsj.chicago_md:n93919	v1spsa---
σθένω	sqe/nw	σθένω	sqe/nw	urn:cite2:hmt:lsj.chicago_md:n93919	v1spia---
σθένω	sqe/nw	σθενόω	sqeno/w	urn:cite2:hmt:lsj.chicago_md:n93918	v2spma---
σθένω	sqe/nw	σθενόω	sqeno/w	urn:cite2:hmt:lsj.chicago_md:n93918	v3siia---
σιγήσομαι	sigh/somai	σιγάω	siga/w	urn:cite2:hmt:lsj.chicago_md:n93963	v1sasm---
σιγήσομαι	sigh/somai	σιγάω	siga/w	urn:cite2:hmt:lsj.chicago_md:n93963	v1sfim---
σιγήσομαί	sigh/somai/	σιγάω	siga/w	urn:cite2:hmt:lsj.chicago_md:n93963	v1sasm---
σιγήσομαί	sigh/somai/	σιγάω	siga/w	urn:cite2:hmt:lsj.chicago_md:n93963	v1sfim---
σιγᾷς	siga=|s	σιγάω	siga/w	urn:cite2:hmt:lsj.chicago_md:n93963	v2spsa---
σιγᾷς	siga=|s	σιγάω	siga/w	urn:cite2:hmt:lsj.chicago_md:n93963	v2spia---
σιγᾷς	siga=|s	σιγάζω	siga/zw	urn:cite2:hmt:lsj.chicago_md:n93956	v2sfia---
σιωπή	siwph/	σιωπή	siwph/	urn:cite2:hmt:lsj.chicago_md:n94474	n-s---fn-
σιωπή	siwph/	σιωπή	siwph/	urn:cite2:hmt:lsj.chicago_md:n94474	n-s---fv-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v-sppamv-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v-sppann-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v-sppanv-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v-sppana-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v-sppamn-
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v--pna---
σιωπᾶν	siwpa=n	σιωπάω	siwpa/w	urn:cite2:hmt:lsj.chicago_md:n94473	v--pna---
σιωπᾶν	siwpa=n	σιωπή	siwph/	urn:cite2:hmt:lsj.chicago_md:n94474	n-p---fg-
σκαιοσύναν	skaiosu/nan	σκαιότης	skaio/ths	urn:cite2:hmt:lsj.chicago_md:n94485	n-s---fa-
σκαιοσύναν	skaiosu/nan	σκαιοσύνη	skaiosu/nh	urn:cite2:hmt:lsj.chicago_md:n94484	n-s---fa-
σκευή	skeuh/	σκευή	skeuh/	urn:cite2:hmt:lsj.chicago_md:n94729	n-s---fn-
σκευή	skeuh/	σκευή	skeuh/	urn:cite2:hmt:lsj.chicago_md:n94729	n-s---fv-
σκληρά	sklhra/	σκληρός	sklhro/s	urn:cite2:hmt:lsj.chicago_md:n95004	a-p---nn-
σκληρά	sklhra/	σκληρός	sklhro/s	urn:cite2:hmt:lsj.chicago_md:n95004	a-p---nv-
σκληρά	sklhra/	σκληρός	sklhro/s	urn:cite2:hmt:lsj.chicago_md:n95004	a-p---na-
σκληρά	sklhra/	σκληρός	sklhro/s	urn:cite2:hmt:lsj.chicago_md:n95004	a-d---fn-
σκληρά	sklhra/	σκληρός	sklhro/s	urn:cite2:hmt:lsj.chicago_md:n95004	a-d---fv-
σκληρά	sklhra/	σκληρός	sklhro/s	urn:cite2:hmt:lsj.chicago_md:n95004	a-d---fa-
σκληρά	sklhra/	σκληρός	sklhro/s	urn:cite2:hmt:lsj.chicago_md:n95004	a-s---fn-
σκληρά	sklhra/	σκληρός	sklhro/s	urn:cite2:hmt:lsj.chicago_md:n95004	a-s---fv-
σκληράν	sklhra/n	σκληρός	sklhro/s	urn:cite2:hmt:lsj.chicago_md:n95004	a-s---fa-
σκοποῦσι	skopou=si	σκοπάω	skopa/w	urn:cite2:hmt:lsj.chicago_md:n95100	v-pppamd-
σκοποῦσι	skopou=si	σκοπάω	skopa/w	urn:cite2:hmt:lsj.chicago_md:n95100	v-pppand-
σκοποῦσι	skopou=si	σκοπάω	skopa/w	urn:cite2:hmt:lsj.chicago_md:n95100	v3ppia---
σκοποῦσι	skopou=si	σκοπέω	skope/w	urn:cite2:hmt:lsj.chicago_md:n95111	v-pppamd-
σκοποῦσι	skopou=si	σκοπέω	skope/w	urn:cite2:hmt:lsj.chicago_md:n95111	v-pppand-
σκοποῦσι	skopou=si	σκοπέω	skope/w	urn:cite2:hmt:lsj.chicago_md:n95111	v3ppia---
σκοπός	skopo/s	σκοπός	skopo/s	urn:cite2:hmt:lsj.chicago_md:n95121	n-s---mn-
σκοπός	skopo/s	σκοπός	skopo/s	urn:cite2:hmt:lsj.chicago_md:n95121	n-s---fn-
σκοπῷ	skopw=|	σκοπάω	skopa/w	urn:cite2:hmt:lsj.chicago_md:n95100	v3spoa---
σκοπῷ	skopw=|	σκοπός	skopo/s	urn:cite2:hmt:lsj.chicago_md:n95121	n-s---md-
σκοπῷ	skopw=|	σκοπός	skopo/s	urn:cite2:hmt:lsj.chicago_md:n95121	n-s---fd-
σκήπτροιν	skh/ptroin	σκῆπτρον	skh=ptron	urn:cite2:hmt:lsj.chicago_md:n94808	n-d---ng-
σκήπτροιν	skh/ptroin	σκῆπτρον	skh=ptron	urn:cite2:hmt:lsj.chicago_md:n94808	n-d---nd-
σκόπει	sko/pei	σκοπάω	skopa/w	urn:cite2:hmt:lsj.chicago_md:n95100	v2spma---
σκόπει	sko/pei	σκοπάω	skopa/w	urn:cite2:hmt:lsj.chicago_md:n95100	v3siia---
σκόπει	sko/pei	σκοπέω	skope/w	urn:cite2:hmt:lsj.chicago_md:n95111	v2spma---
σκόπει	sko/pei	σκοπέω	skope/w	urn:cite2:hmt:lsj.chicago_md:n95111	v3siia---
σκότον	sko/ton	σκότος	sko/tos	urn:cite2:hmt:lsj.chicago_md:n95221	n-s---ma-
σκῆπτρα	skh=ptra	σκῆπτρον	skh=ptron	urn:cite2:hmt:lsj.chicago_md:n94808	n-p---nn-
σκῆπτρα	skh=ptra	σκῆπτρον	skh=ptron	urn:cite2:hmt:lsj.chicago_md:n94808	n-p---nv-
σκῆπτρα	skh=ptra	σκῆπτρον	skh=ptron	urn:cite2:hmt:lsj.chicago_md:n94808	n-p---na-
σμικροῖς	smikroi=s	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-p---md-
σμικροῖς	smikroi=s	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-p---nd-
σμικροῖς	smikroi=s	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-p---md-
σμικροῖς	smikroi=s	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-p---nd-
σμικροῦ	smikrou=	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---mg-
σμικροῦ	smikrou=	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---ng-
σμικροῦ	smikrou=	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---mg-
σμικροῦ	smikrou=	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---ng-
σμικρά	smikra/	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-p---nn-
σμικρά	smikra/	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-p---nv-
σμικρά	smikra/	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-p---na-
σμικρά	smikra/	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-d---fn-
σμικρά	smikra/	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-d---fv-
σμικρά	smikra/	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-d---fa-
σμικρά	smikra/	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---fn-
σμικρά	smikra/	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---fv-
σμικρά	smikra/	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-p---nn-
σμικρά	smikra/	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-p---nv-
σμικρά	smikra/	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-p---na-
σμικρά	smikra/	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-d---fn-
σμικρά	smikra/	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-d---fv-
σμικρά	smikra/	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-d---fa-
σμικρά	smikra/	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---fn-
σμικρά	smikra/	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---fv-
σμικρόν	smikro/n	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---ma-
σμικρόν	smikro/n	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---nn-
σμικρόν	smikro/n	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---nv-
σμικρόν	smikro/n	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---na-
σμικρόν	smikro/n	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---ma-
σμικρόν	smikro/n	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---nn-
σμικρόν	smikro/n	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---nv-
σμικρόν	smikro/n	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---na-
σμικρός	smikro/s	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---mn-
σμικρός	smikro/s	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---mn-
σμικρῷ	smikrw=|	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---md-
σμικρῷ	smikrw=|	μικρός	mikro/s	urn:cite2:hmt:lsj.chicago_md:n67762	a-s---nd-
σμικρῷ	smikrw=|	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---md-
σμικρῷ	smikrw=|	σμικρός	smikro/s	urn:cite2:hmt:lsj.chicago_md:n95505	a-s---nd-
σοι	soi	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----d-
σου	sou	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----g-
σοί	soi/	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-p---mn-
σοί	soi/	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-p---mv-
σοί	soi/	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----d-
σοί	soi/	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----d-
σούς	sou/s	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-p---ma-
σοῖν	soi=n	σής	sh/s	urn:cite2:hmt:lsj.chicago_md:n93867	n-d---mg-
σοῖν	soi=n	σής	sh/s	urn:cite2:hmt:lsj.chicago_md:n93867	n-d---md-
σοῖν	soi=n	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-d---mg-
σοῖν	soi=n	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-d---md-
σοῖν	soi=n	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-d---ng-
σοῖν	soi=n	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-d---nd-
σοῖς	soi=s	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-p---md-
σοῖς	soi=s	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-p---nd-
σοῦ	sou=	σεύω	seu/w	urn:cite2:hmt:lsj.chicago_md:n93762	v2spmm---
σοῦ	sou=	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-s---mg-
σοῦ	sou=	σός	so/s	urn:cite2:hmt:lsj.chicago_md:n95610	a-s---ng-
σοῦ	sou=	σοῦ	sou=	urn:cite2:hmt:lsj.chicago_md:n95612	x--------
σοῦ	sou=	σοῦ	sou=	urn:cite2:hmt:lsj.chicago_md:n95613	x--------
σοῦ	sou=	σύ	su/	urn:cite2:hmt:lsj.chicago_md:n97456	p-s----g-
σπανιστοῖς	spanistoi=s	σπανιστός	spanisto/s	urn:cite2:hmt:lsj.chicago_md:n95727	a-p---md-
σπανιστοῖς	spanistoi=s	σπανιστός	spanisto/s	urn:cite2:hmt:lsj.chicago_md:n95727	a-p---nd-
σπαρτῶν	spartw=n	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95769	n-p---fg-
σπαρτῶν	spartw=n	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95770	n-p---fg-
σπαρτῶν	spartw=n	σπαρτός	sparto/s	urn:cite2:hmt:lsj.chicago_md:n95782	a-p---fg-
σπαρτῶν	spartw=n	σπαρτός	sparto/s	urn:cite2:hmt:lsj.chicago_md:n95782	a-p---mg-
σπαρτῶν	spartw=n	σπαρτός	sparto/s	urn:cite2:hmt:lsj.chicago_md:n95782	a-p---ng-
σπαρτῶν	spartw=n	σπαρτός	sparto/s	urn:cite2:hmt:lsj.chicago_md:n95782	n-p---mg-
σπαρτῶν	spartw=n	σπαρτός	sparto/s	urn:cite2:hmt:lsj.chicago_md:n95782	n-p---fg-
σπαρτῶν	spartw=n	σπαρτός	sparto/s	urn:cite2:hmt:lsj.chicago_md:n95782	n-p---ng-
σπερμάτων	sperma/twn	σπέρμα	spe/rma	urn:cite2:hmt:lsj.chicago_md:n95853	n-p---ng-
σπεύδειν	speu/dein	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v--pna---
σπεύδοντες	speu/dontes	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v-pppamn-
σπεύδοντες	speu/dontes	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v-pppamv-
σπεύδουσιν	speu/dousin	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v-pppamd-
σπεύδουσιν	speu/dousin	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v-pppand-
σπεύδουσιν	speu/dousin	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v3ppia---
σπεῦσον	speu=son	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v2sama---
σπεῦσον	speu=son	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v-sfpamv-
σπεῦσον	speu=son	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v-sfpann-
σπεῦσον	speu=son	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v-sfpanv-
σπεῦσον	speu=son	σπεύδω	speu/dw	urn:cite2:hmt:lsj.chicago_md:n95898	v-sfpana-
σπουδαῖον	spoudai=on	σπουδαῖος	spoudai=os	urn:cite2:hmt:lsj.chicago_md:n96089	a-s---ma-
σπουδαῖον	spoudai=on	σπουδαῖος	spoudai=os	urn:cite2:hmt:lsj.chicago_md:n96089	a-s---nn-
