’	e)\	- no urn found -	ἒ
Σθενέβοιαι	*sqene/boia	- no urn found -	Σθενέβοια
Σιδώνιόν	*sidw/nios	- no urn found -	Σιδώνιος
Σιδώνιόν	*sidw/nios	- no urn found -	Σιδώνιος
Σιδώνιόν	*sidw/nios	- no urn found -	Σιδώνιος
Σιδώνιόν	*sidw/nios	- no urn found -	Σιδώνιος
Σοφοκλεῖ	*sofoklh=s	- no urn found -	Σοφοκλῆς
Σοφοκλέα	*sofoklh=s	- no urn found -	Σοφοκλῆς
Σοφοκλέης	*sofoklh=s	- no urn found -	Σοφοκλῆς
Σοφοκλέους	*sofoklh=s	- no urn found -	Σοφοκλῆς
Σπερχειέ	*sperxeio/s	- no urn found -	Σπερχειός
Σωκράτει	*swkra/ths	- no urn found -	Σωκράτης
Σωκράτει	*swkra/ths	- no urn found -	Σωκράτης
Σωκράτει	*swkra/ths	- no urn found -	Σωκράτης
Σωκράτει	*swkra/ths	- no urn found -	Σωκράτης
Σωκράτει	*swkra/ths	- no urn found -	Σωκράτης
Σώτειραν	*sw/teira	- no urn found -	Σώτειρα
Ταντάλειος	*tanta/leios	- no urn found -	Ταντάλειος
Ταρτησία	*tarth/sios	- no urn found -	Ταρτήσιος
Ταρτησία	*tarth/sios	- no urn found -	Ταρτήσιος
Ταρτησία	*tarth/sios	- no urn found -	Ταρτήσιος
Ταρτησία	*tarth/sios	- no urn found -	Ταρτήσιος
Ταρτησία	*tarth/sios	- no urn found -	Ταρτήσιος
Ταίναρον	*tai/naron	- no urn found -	Ταίναρον
Ταίναρον	*tai/naron	- no urn found -	Ταίναρον
Ταίναρον	*tai/naron	- no urn found -	Ταίναρον
Τειθράσιαι	*teiqra/sios	- no urn found -	Τειθράσιος
Τειθράσιαι	*teiqra/sios	- no urn found -	Τειθράσιος
Τεύκρων	*teu=kros-pl	- no urn found -	Τεῦκροσ-πλ
Τήλεφον	*th/lefos	- no urn found -	Τήλεφος
Φαίδρας	*fai/drh	- no urn found -	Φαίδρη
Φαίδρας	*fai=dras	- no urn found -	Φαῖδρας
Φερρέφατθ’	*ferse/fassa-pl	- no urn found -	Φερσέφασσα-πλ
Φερρέφατθ’	*ferse/fassa-pl	- no urn found -	Φερσέφασσα-πλ
Φερρέφατθ’	*ferse/fassa-pl	- no urn found -	Φερσέφασσα-πλ
Φερρέφατθ’	*ferse/fassa-pl	- no urn found -	Φερσέφασσα-πλ
Φθιῶτ’	*fqiw=tis	- no urn found -	Φθιῶτις
Φιλοξένου	*filo/cenos	- no urn found -	Φιλόξενος
Φορμίσιος	*formi/sios	- no urn found -	Φορμίσιος
Φοῖβ’	*foi=bos	- no urn found -	Φοῖβος
Φρυνίχου	*fru/nixos	- no urn found -	Φρύνιχος
Φρυνίχῳ	*fru/nixos	- no urn found -	Φρύνιχος
Φρύνιχος	*fru/nixos	- no urn found -	Φρύνιχος
Χάρων	*xa/rwn	- no urn found -	Χάρων
Χάρων	*xa/rwn	- no urn found -	Χάρων
Χάρων	*xa/rwn	- no urn found -	Χάρων
Χάρων	*xa/rwn	- no urn found -	Χάρων
Χύτροισι	*xu/troi	- no urn found -	Χύτροι
Χύτροισι	*xu/tros	- no urn found -	Χύτρος
δείξει	dei/cis	- no urn found -	δείξις
δείξει	dei/cis	- no urn found -	δείξις
δείξει	dei/cis	- no urn found -	δείξις
δείξει	dei/cis	- no urn found -	δείξις
δείξει	dei/cis	- no urn found -	δείξις
δείξεις	dei/cis	- no urn found -	δείξις
δείξεις	dei/cis	- no urn found -	δείξις
δείξεις	dei/cis	- no urn found -	δείξις
δείξεις	dei/cis	- no urn found -	δείξις
διαδρασιπολίτας	diadrasipoli/ths	- no urn found -	διαδρασιπολίτης
διαδρασιπολίτας	diadrasipoli/ths	- no urn found -	διαδρασιπολίτης
διανοεῖ	dianoe/omai	- no urn found -	διανοέομαι
διανοεῖ	dianoe/omai	- no urn found -	διανοέομαι
διανοεῖ	dianoe/omai	- no urn found -	διανοέομαι
διαπτάσθαι	diape/tamai	- no urn found -	διαπέταμαι
δοκῶ	doko/n	- no urn found -	δοκόν
δοκῶν	doko/n	- no urn found -	δοκόν
θρίω	qre/w	- no urn found -	θρέω
θρίω	qre/w	- no urn found -	θρέω
καθήσθω	kata/-ka/qhmai	- no urn found -	κατά-κάθημαι
κακῶν	kaka/zw	- no urn found -	κακάζω
κακῶν	kaka/zw	- no urn found -	κακάζω
κακῶν	kaka/zw	- no urn found -	κακάζω
κακῶν	kaka/zw	- no urn found -	κακάζω
κακῶν	kaka/zw	- no urn found -	κακάζω
κατεδύσαμέν	kata/-du/w	- no urn found -	κατά-δύω1
κατερεικτῶν	katereikto/s	- no urn found -	κατερεικτός
κατερεικτῶν	katereikto/s	- no urn found -	κατερεικτός
κατερεικτῶν	katereikto/s	- no urn found -	κατερεικτός
κατερεῖς	katerw=	- no urn found -	κατερῶ
κατθανεῖν	kataqnh/skw	- no urn found -	καταθνήσκω
καίτοι	kai/toi	- no urn found -	καίτοι
κορυθαίολα	koruqai/olos	- no urn found -	κορυθαίολος
κορυθαίολα	koruqai/olos	- no urn found -	κορυθαίολος
κορυθαίολα	koruqai/olos	- no urn found -	κορυθαίολος
κοάξ	koa/c	- no urn found -	κοάξ
κρεμάσαντι	krema/zw	- no urn found -	κρεμάζω
κρεμάσαντι	krema/zw	- no urn found -	κρεμάζω
κρεμάσας	krema/zw	- no urn found -	κρεμάζω
κρεμάσας	krema/zw	- no urn found -	κρεμάζω
κρεμάσας	krema/zw	- no urn found -	κρεμάζω
κρεμάσας	krema/zw	- no urn found -	κρεμάζω
κἀλεκτρυόνα	*)alektruw/n	- no urn found -	Ἀλεκτρυών
κἀμοί	h(mo/s	- no urn found -	ἡμός
κἀμοί	h(mo/s	- no urn found -	ἡμός
κἀμούς	h(mo/s	- no urn found -	ἡμός
κἀπέχου	e)pw/xato	- no urn found -	ἐπώχατο
κἀπ’	*)api/s	- no urn found -	Ἀπίς
κἀφελεῖν	e)faire/omai	- no urn found -	ἐφαιρέομαι
κἀφελεῖν	e)faire/omai	- no urn found -	ἐφαιρέομαι
κἄν	ka)n	- no urn found -	κἀν
κάλλιστα	ka/llista	- no urn found -	κάλλιστα
κάτω	kato/w	- no urn found -	κατόω
κάτω	kato/w	- no urn found -	κατόω
λαλιάν	lalih/	- no urn found -	λαλιή
λεπτολόγους	lepto/logos	- no urn found -	λεπτόλογος
λεπτολόγους	lepto/logos	- no urn found -	λεπτόλογος
λεπτά	lepto/n	- no urn found -	λεπτόν
λεπτά	lepto/n	- no urn found -	λεπτόν
λεπτά	lepto/n	- no urn found -	λεπτόν
λεπτόν	lepto/n	- no urn found -	λεπτόν
λεπτόν	lepto/n	- no urn found -	λεπτόν
λεπτόν	lepto/n	- no urn found -	λεπτόν
λεπτῶν	lepto/n	- no urn found -	λεπτόν
λίμνη	limnei	- no urn found -	λιμνει
λίμνη	limnei	- no urn found -	λιμνει
λίμνη	limnei	- no urn found -	λιμνει
μαστιγίας	mastigi/hs	- no urn found -	μαστιγίης
μαστιγίας	mastigi/hs	- no urn found -	μαστιγίης
μετακυλίνδειν	meta/-kuli/ndw	- no urn found -	μετά-κυλίνδω
μιγνυμένας	mi/gnumi	- no urn found -	μίγνυμι
μιγνυμένας	mi/gnumi	- no urn found -	μίγνυμι
μιγνύς	mi/gnumi	- no urn found -	μίγνυμι
μιγνύς	mi/gnumi	- no urn found -	μίγνυμι
μάλιστα	ma/lista	- no urn found -	μάλιστα
μάλιστά	ma/lista	- no urn found -	μάλιστα
ναίων	nh/ios	- no urn found -	νήιος
ναίων	nh/ios	- no urn found -	νήιος
ναίων	nh/ios	- no urn found -	νήιος
ναίων	nh/ios	- no urn found -	νήιος
ναίων	nh/ios	- no urn found -	νήιος
ναίων	nh/ios	- no urn found -	νήιος
νείκη	nei	- no urn found -	νει
νείκη	nei	- no urn found -	νει
νείκη	nei	- no urn found -	νει
νείκη	nei	- no urn found -	νει
νείκη	nei	- no urn found -	νει
νείκη	nei	- no urn found -	νει
νεῖκος	nei	- no urn found -	νει
νεῖκος	nei	- no urn found -	νει
νεῖκος	nei	- no urn found -	νει
οἰδοῦσαν	oi)da/w	- no urn found -	οἰδάω
οἰδῶν	oi)da/w	- no urn found -	οἰδάω
οἰδῶν	oi)da/w	- no urn found -	οἰδάω
οἰδῶν	oi)da/w	- no urn found -	οἰδάω
οἰδῶν	oi)da/w	- no urn found -	οἰδάω
οἰδῶν	oi)da/w	- no urn found -	οἰδάω
οἰδῶν	oi)da/w	- no urn found -	οἰδάω
οὑτωσί	ou(twsi/	- no urn found -	οὑτωσί
οὔλων	o(/loc	- no urn found -	ὅλοξ
οὔλων	o(/loc	- no urn found -	ὅλοξ
οὔλων	o(/loc	- no urn found -	ὅλοξ
πανδοκεῖον	pandokei=on	- no urn found -	πανδοκεῖον
πανδοκεῖον	pandokei=on	- no urn found -	πανδοκεῖον
πανδοκεῖον	pandokei=on	- no urn found -	πανδοκεῖον
πανούργους	pa/nourgos	- no urn found -	πάνουργος
πανούργους	pa/nourgos	- no urn found -	πάνουργος
πανούργων	pa/nourgos	- no urn found -	πάνουργος
πανούργων	pa/nourgos	- no urn found -	πάνουργος
πανούργων	pa/nourgos	- no urn found -	πάνουργος
παρακαθήμενον	para/-ka/qhmai	- no urn found -	παρά-κάθημαι
παρακαθήμενον	para/-ka/qhmai	- no urn found -	παρά-κάθημαι
παρακαθήμενον	para/-ka/qhmai	- no urn found -	παρά-κάθημαι
παρακαθήμενον	para/-ka/qhmai	- no urn found -	παρά-κάθημαι
πειστέον	peiste/os	- no urn found -	πειστέος
πειστέον	peiste/os	- no urn found -	πειστέος
πειστέον	peiste/os	- no urn found -	πειστέος
πειστέον	peiste/os	- no urn found -	πειστέος
πειστέον	peiste/os	- no urn found -	πειστέος
πλάτῃ	pla/ths	- no urn found -	πλάτης
ποῖ	poi	- no urn found -	ποι
προσπαρδεῖν	para/-dei=	- no urn found -	παρά-δεῖ
προσπαρδεῖν	para/-dei=	- no urn found -	παρά-δεῖ
προσπαρδεῖν	para/-dei=	- no urn found -	παρά-δεῖ
προσπαρδεῖν	para/-dei=	- no urn found -	παρά-δεῖ
προστάτην	proi/sthmi	- no urn found -	προίστημι
προϊέναι	proi/hmi	- no urn found -	προίημι
πρίωμαι	pri/amai	- no urn found -	πρίαμαι
πάτραν	pa/trh	- no urn found -	πάτρη
πάτρας	pa/trh	- no urn found -	πάτρη
πάτρας	pa/trh	- no urn found -	πάτρη
πέταλον	pe/talos	- no urn found -	πέταλος
πέταλον	pe/talos	- no urn found -	πέταλος
πέταλον	pe/talos	- no urn found -	πέταλος
πέταλον	pe/talos	- no urn found -	πέταλος
πόθεν	poqen	- no urn found -	ποθεν
πόντιε	*po/ntios	- no urn found -	Πόντιος
πόρον	po/rw	- no urn found -	πόρω
πόρον	po/rw	- no urn found -	πόρω
σοῖσιν	se/w	- no urn found -	σέω
σοῖσιν	se/w	- no urn found -	σέω
σοῦ	se/w	- no urn found -	σέω
σοῦ	se/w	- no urn found -	σέω
σταθμήσεται	staqma/omai	- no urn found -	σταθμάομαι
σταθμήσεται	staqma/omai	- no urn found -	σταθμάομαι
στρεβλῶν	stre/bla	- no urn found -	στρέβλα
συμπαιστρίας	sumpai/stria	- no urn found -	συμπαίστρια
συμπαιστρίας	sumpai/stria	- no urn found -	συμπαίστρια
συντέθνηκεν	sunqnh/skw	- no urn found -	συνθνήσκω
συντέθνηκεν	sunqnh/skw	- no urn found -	συνθνήσκω
συντέθνηκέ	sunqnh/skw	- no urn found -	συνθνήσκω
συντέθνηκέ	sunqnh/skw	- no urn found -	συνθνήσκω
συνέλεξας	su/n-le/gw	- no urn found -	σύν-λέγω1
συνέλεξας	su/n-le/gw	- no urn found -	σύν-λέγω3
σφογγιάν	sfoggia/	- no urn found -	σφογγιά
σχήσειν	sxa/w	- no urn found -	σχάω
