urn:cite2:hmt:lsj.chicago_md:n95	ἀβίωτος; not to be lived, insupportable; life is intolerable
urn:cite2:hmt:lsj.chicago_md:n96	ἀβλάβεια; freedom from harm; harmlessness
urn:cite2:hmt:lsj.chicago_md:n97	ἀβλαβής; without harm; unharmed, unhurt; safely; securely; not harming, harmless, innocent; …[2 omitted]… averting; preventing harm; without violating the terms
urn:cite2:hmt:lsj.chicago_md:n98	ἀβλαβία
urn:cite2:hmt:lsj.chicago_md:n99	ἀβλαβύνιον
urn:cite2:hmt:lsj.chicago_md:n100	ἄβλαπτος
urn:cite2:hmt:lsj.chicago_md:n101	ἄβλαροι
urn:cite2:hmt:lsj.chicago_md:n102	ἀβλαστέω; not to run to leaf; not to germinate
urn:cite2:hmt:lsj.chicago_md:n103	ἄβλαστος; not growing out; not growing; not germinating; unfruitful
urn:cite2:hmt:lsj.chicago_md:n104	ἀβλάστητος; not striking from cuttings
urn:cite2:hmt:lsj.chicago_md:n105	ἄβλαυτος; unslippered
urn:cite2:hmt:lsj.chicago_md:n106	ἀβλεμής; feeble; flat; intemperately
urn:cite2:hmt:lsj.chicago_md:n107	ἀβλεννής; mucus
urn:cite2:hmt:lsj.chicago_md:n108	ἀβλεπτέω; overlook, disregard
urn:cite2:hmt:lsj.chicago_md:n109	ἀβλεπτῆ
urn:cite2:hmt:lsj.chicago_md:n110	ἀβλέπτημα; mistake, oversight
urn:cite2:hmt:lsj.chicago_md:n111	ἄβλεπτος
urn:cite2:hmt:lsj.chicago_md:n112	ἀβλέφαρος; without eyebrows
urn:cite2:hmt:lsj.chicago_md:n113	ἀβλεψία; blindness; failure to see; invisibility
urn:cite2:hmt:lsj.chicago_md:n114	ἄβληρα
urn:cite2:hmt:lsj.chicago_md:n115	ἀβλής; not thrown; shot; not yet used
urn:cite2:hmt:lsj.chicago_md:n116	ἀβλήτηρες
urn:cite2:hmt:lsj.chicago_md:n117	ἄβλητος; not hit
urn:cite2:hmt:lsj.chicago_md:n118	ἀβληχής; without bleatings
urn:cite2:hmt:lsj.chicago_md:n119	ἀβληχρής; mild, soothing
